date,price,volume
2024-08-26,575.1686,1298490889.8118467
2024-08-25,582.1726,1536014481.6132405
2024-08-24,592.3625,1843575204.4599304
2024-08-23,583.6973,1828832393.9405594
2024-08-22,570.6073,1795740994.651568
2024-08-21,570.3328,1871228942.1010454
2024-08-20,559.7275,1795196021.163763
2024-08-19,529.9701,1095984075.7560976
2024-08-18,542.0119,1129590560.2508712
2024-08-17,520.406,1078131777.2195122
2024-08-16,519.3841,1366763910.7735193
2024-08-15,523.5213,1281557260.6376307
2024-08-14,524.3103,1411165755.4006968
2024-08-13,519.2216,1686429363.4146342
2024-08-12,504.63,1543649720.8222997
2024-08-11,524.0527,1043866021.6097561
2024-08-10,508.3316,997770793.076655
2024-08-09,516.0967,1447485211.15331
2024-08-08,475.0877,1678110074.6027875
2024-08-07,484.2928,1899135583.878049
2024-08-06,466.3496,3741091763.595819
2024-08-05,497.1538,5327387395.062717
2024-08-04,526.278,1566039258.7560976
2024-08-03,539.2355,1942777128.8919861
2024-08-02,572.868,1842858069.2369337
2024-08-01,576.998,1584716953.2195122
2024-07-31,588.6454,1322697301.968641
2024-07-30,574.2704,1331929021.3728223
2024-07-29,584.5333,1112745176.7595818
2024-07-28,580.8256,1195423695.651568
2024-07-27,581.2302,1095344565.327526
2024-07-26,570.8357,1381977846.8815331
2024-07-25,575.108,1628116649.7804878
2024-07-24,583.0516,1370765816.4703832
2024-07-23,588.5206,1538344641.163763
2024-07-22,603.4933,1615990589.2631578
2024-07-21,593.9288,1055975622.9059234
2024-07-20,594.0092,1724059080.8118467
2024-07-19,571.9396,1488602281.6341465
2024-07-18,569.8646,1226805924.6480837
2024-07-17,576.9721,1587157244.1114984
2024-07-16,587.2957,1936674574.0278745
2024-07-15,546.6,1410514802.0069687
2024-07-14,532.8886,1044914682.2857143
2024-07-13,534.2747,1045213563.8536586
2024-07-12,525.3176,1491794101.4982579
2024-07-11,524.4977,1339993743.3286712
2024-07-10,517.0819,1237916719.543554
2024-07-09,510.9211,1745900141.8641114
2024-07-08,492.0261,2256794740.4529614
2024-07-07,525.7726,1423034181.3554008
2024-07-06,497.0803,1840743707.4843206
2024-07-05,511.1388,3265912789.226481
2024-07-04,557.6055,1909798933.738676
2024-07-03,580.0706,1241222050.4703832
2024-07-02,577.2779,951851617.0557492
2024-07-01,582.5248,1119764148.261324
2024-06-30,570.3945,795337280.5505227
2024-06-29,567.6377,974569084.0487804
2024-06-28,581.6332,1137589609.2752614
2024-06-27,573.2452,1107945513.2020905
2024-06-26,577.7781,1070102284.1986063
2024-06-25,568.2951,1617676402.7874565
2024-06-24,577.8185,1468203672.4808362
2024-06-23,591.2347,820636193.9198606
2024-06-22,586.6062,1020769883.5644599
2024-06-21,587.9271,1457644394.1672473
2024-06-20,597.9677,1395216333.2543554
2024-06-19,589.3037,1752009829.825784
2024-06-18,604.6255,2140354871.620209
2024-06-17,610.9833,1188781548.28223
2024-06-16,608.0555,904743536.2648084
2024-06-15,603.4444,1376258965.7526133
2024-06-14,601.8767,1547537845.1498258
2024-06-13,617.6107,2169268798.6376305
2024-06-12,602.9319,2566913798.4076657
2024-06-11,625.8773,3684579874.390244
2024-06-10,672.5855,2157472345.2996516
2024-06-09,683.15,1413833398.2299652
2024-06-08,681.3806,2504716859.456446
2024-06-07,710.4167,2891786870.773519
2024-06-06,699.2692,2919803195.4982576
2024-06-05,688.2342,4498014030.811847
2024-06-04,627.7232,2944001614.6376305
2024-06-03,602.6999,2234351540
