date,price,volume
2024-08-26,64347.03,101203762857.35191
2024-08-25,64184.99,94619490854.93729
2024-08-24,64090.69,125881577994.09407
2024-08-23,60392.09,109681143161.26573
2024-08-22,61167.48,109925654743.1324
2024-08-21,59114.41,109456682134.21603
2024-08-20,59448,103619917438.06621
2024-08-19,58320.02,93178855472.10802
2024-08-18,59479.04,80655928562.98607
2024-08-17,58902.94,88140111621.74216
2024-08-16,57523.11,106395319154.49826
2024-08-15,58731.42,103561753070.77351
2024-08-14,60460.83,100245718135.20906
2024-08-13,59455.98,103696068413.57143
2024-08-12,58804.02,100105883667.67247
2024-08-11,60958.03,79394741807.11847
2024-08-10,60707.54,95154408736.78746
2024-08-09,61642.59,119380537562.54007
2024-08-08,55208.09,115082738098.83275
2024-08-07,55931.96,115542644837.35191
2024-08-06,54153.99,180069767679.24042
2024-08-05,58282.02,212195781011.71082
2024-08-04,60721.48,92944193833.37979
2024-08-03,61551.85,127508490963.48781
2024-08-02,65470.03,126678255697.5784
2024-08-01,64690.06,115915313679.64111
2024-07-31,66095.88,104724657195.78746
2024-07-30,66743.69,114280185390.73868
2024-07-29,68190.01,101383758813.21254
2024-07-28,67699.97,115846507993.94774
2024-07-27,67865.97,102398740886.43903
2024-07-26,65828.01,113089301630.39372
2024-07-25,65453.96,111090252492.92683
2024-07-24,65989.99,107162775416.82579
2024-07-23,67537.99,115158262082.33449
2024-07-22,68178.02,112174263548.25964
2024-07-21,67102,89676444049.20906
2024-07-20,66699.54,104553506285.97212
2024-07-19,63910.04,101639252770.35191
2024-07-18,64159.97,99977799879.21254
2024-07-17,65076.01,113492292607.62369
2024-07-16,64868.03,116542026597.43555
2024-07-15,60876.22,100145806081.73868
2024-07-14,59318.59,85066289307.21603
2024-07-13,57858.96,83611257769.9547
2024-07-12,57299.22,93418137284.68292
2024-07-11,57619.19,91437938548.90909
2024-07-10,57923.75,91848128823.29268
2024-07-09,56646.67,100398238221.78049
2024-07-08,55857.81,99609702443.84027
2024-07-07,58230.16,79631334264.54167
2024-07-06,56628.73,98029265844.13194
2024-07-05,57043.9,122554076854.67014
2024-07-04,60208.62,101841641575.29167
2024-07-03,62127.99,87751477173.18056
2024-07-02,62906,83918670305.98611
2024-07-01,62771.97,86017960841.93056
2024-06-30,60986.67,72644110248.8125
2024-06-29,60427.81,81524470017.98264
2024-06-28,61617.14,86177794784.1875
2024-06-27,60854.02,121597828546.94098
2024-06-26,61804.76,101705522290.09027
2024-06-25,60297.21,105012900610.22223
2024-06-24,63197.97,88214365730.36458
2024-06-23,64261.95,68549855803.18056
2024-06-22,64131.09,81694907535.11806
2024-06-21,64870,91064047001.40277
2024-06-20,64974.38,86987051058.93056
