date,price,volume
2024-08-26,2754.1201,85489888570.28223
2024-08-25,2771.4623,30500044724.74216
2024-08-24,2768.5943,19522838660.365852
2024-08-23,2623.9889,15762387827.1993
2024-08-22,2634.5055,16982370735.850174
2024-08-21,2579.8199,16309363308.341463
2024-08-20,2637.8247,17076152094.261324
2024-08-19,2613.3601,13738107673.63763
2024-08-18,2619.1546,10684582235.745646
2024-08-17,2597.5662,15001355444.735191
2024-08-16,2572.7081,21909793862.480835
2024-08-15,2664.2417,21172796981.00697
2024-08-14,2701.3749,21303300704.296165
2024-08-13,2725.257,26482751922.5331
2024-08-12,2563.8531,24379596634.56446
2024-08-11,2611.4138,13783923340.49129
2024-08-10,2595.6427,18641746063.92683
2024-08-09,2681.0539,29064924778.414635
2024-08-08,2349.2904,30921267870.26829
2024-08-07,2462.0024,31259953363.432056
2024-08-06,2426.3372,50388457255.84321
2024-08-05,2696.0685,67933658420.22648
2024-08-04,2907.5983,22756243524.73519
2024-08-03,2992.2673,27325713249.512196
2024-08-02,3206.6366,26483179606.66899
2024-08-01,3243.4517,25193218995.292683
2024-07-31,3284.431,19719654939.114983
2024-07-30,3323.564,23356590933.47387
2024-07-29,3275.9617,18562538334.87108
2024-07-28,3242.7468,19887735032.08014
2024-07-27,3274.3051,18671129755.02439
2024-07-26,3177.8454,28361645389.20209
2024-07-25,3344.0852,30095533927.543552
2024-07-24,3494.3649,29532333370.80488
2024-07-23,3449.6586,29990394807.038326
2024-07-22,3542.9018,23551390571.842106
2024-07-21,3526.1437,14600561413.658537
2024-07-20,3511.3714,20635062566.61324
2024-07-19,3435.8713,21093211096.689896
2024-07-18,3406.515,20420147970.03136
2024-07-17,3461.005,24946429985.254356
2024-07-16,3505.0278,25378090716.470383
2024-07-15,3266.7804,18467836110.641113
2024-07-14,3200.6783,13053293725.470383
2024-07-13,3146.3327,13921944276.54007
2024-07-12,3110.2808,19310170942.02439
2024-07-11,3109.4128,19287702681.5979
2024-07-10,3078.168,19259438464.578396
2024-07-09,3026.4368,25028894458.28223
2024-07-08,2951.7716,24973397088.71777
2024-07-07,3078.5057,13971466195.630663
2024-07-06,2986.2657,23054834715.351917
2024-07-05,3060.2769,36750836690.731705
2024-07-04,3310.2829,23821827278.689896
2024-07-03,3438.1561,16202961456.069687
2024-07-02,3459.2052,13864060406.526133
2024-07-01,3456.2278,14646388691.5331
2024-06-30,3399.2329,9247929775.759583
2024-06-29,3390.5327,13651160559.728224
2024-06-28,3459.8701,16467284123.58885
2024-06-27,3383.5292,15804001113.083624
2024-06-26,3405.1884,14391379660.648083
2024-06-25,3361.4335,22117258703.212543
2024-06-24,3441.3306,19520467666.891987
2024-06-23,3523.0682,9130648585.49129
2024-06-22,3532.3234,15479329282.728224
2024-06-21,3529.9099,18831776300.62021
