date,price,volume
2024-08-26,159.8063,5664026107.97561
2024-08-25,160.4861,5906936653.498258
2024-08-24,153.4701,6974269498.808362
2024-08-23,143.3919,4187190139.993007
2024-08-22,143.0406,4754798694.770035
2024-08-21,142.92,4760377214.745645
2024-08-20,144.3402,5655747195.599303
2024-08-19,142.4165,5071076724.512196
2024-08-18,141.9431,4049334279.71777
2024-08-17,139.1671,5569666893.76655
2024-08-16,142.8106,8075992922.090592
2024-08-15,144.1473,6759332348.815331
2024-08-14,146.5885,6314737386.296167
2024-08-13,146.6025,7591934933.428572
2024-08-12,142.262,8130032553.439024
2024-08-11,154.1543,4419224922.682927
2024-08-10,155.7939,6579557499.902439
2024-08-09,162.7062,10482948117.428572
2024-08-08,145.2473,13248759591.146341
2024-08-07,144.2231,13245146947.052265
2024-08-06,131.053,20025513724.655052
2024-08-05,139.1117,23777922445.01394
2024-08-04,142.7747,8602714486.13589
2024-08-03,153.5237,9891988152.439024
2024-08-02,168.0082,9929616642.04878
2024-08-01,172.5748,8630496635.811846
2024-07-31,179.1171,6545574381.679442
2024-07-30,182.6937,7786665040.432055
2024-07-29,184.9975,7101863959.721254
2024-07-28,183.4116,7294286153.1777
2024-07-27,182.9473,6278536400.43554
2024-07-26,172.0877,8029474888.864112
2024-07-25,178.2662,9067568843.923346
2024-07-24,173.7915,7131407887.466899
2024-07-23,179.1941,6863883957.724739
2024-07-22,184.62,7924558304.610526
2024-07-21,173.9155,5006688700.926829
2024-07-20,169.3035,6175307483.313589
2024-07-19,159.1207,6705596495.916376
2024-07-18,156.0881,5088614241.278746
2024-07-17,160.831,6120555803.292683
2024-07-16,160.0214,6588105231.477352
2024-07-15,148.0763,5000468983.97561
2024-07-14,142.4694,4125556455.083624
2024-07-13,139.3229,3418708232.6898956
2024-07-12,136.2442,5444345971.780488
2024-07-11,142.0645,4521715393.674825
2024-07-10,141.5399,5218736258.428572
2024-07-09,139.3861,7265899400.9790945
2024-07-08,132.2517,7071324663.557491
2024-07-07,143.0442,4608597306.651568
2024-07-06,133.9883,6876911497.372823
2024-07-05,127.2111,10212304579.59582
2024-07-04,141.3783,7251633022.620209
2024-07-03,154.143,6123175130.958188
2024-07-02,146.5609,4234276298.247387
2024-07-01,146.4152,4247688869.8641114
2024-06-30,140.15,2947251793.28223
2024-06-29,140.1574,4097886971.470383
2024-06-28,149.536,6355018359.229965
2024-06-27,136.7728,4637165294.853659
2024-06-26,136.5488,4255742166.414634
2024-06-25,132.4006,6582644450.017422
2024-06-24,128.5299,4953771941.191638
2024-06-23,133.9093,1893147180.0801394
2024-06-22,134.5338,3790160541.756098
2024-06-21,133.84,4653695911.895471
