date,volume,price
2018-02-22 00:00:00,4650,59.21
2018-02-23 00:00:00,1384,59.5225
2018-02-26 00:00:00,7905.000000000001,60.42
2018-02-27 00:00:00,2122,60.09
2018-02-28 00:00:00,5427,59.47
2018-03-01 00:00:00,5526,58.57
2018-03-02 00:00:00,19447,58.62
2018-03-05 00:00:00,1036,59.57
2018-03-06 00:00:00,2557,59.65
2018-03-07 00:00:00,8672,59.71
2018-03-08 00:00:00,3246,59.9
2018-03-09 00:00:00,8156.999999999999,60.965
2018-03-12 00:00:00,9386,61.03
2018-03-13 00:00:00,7784,60.5582
2018-03-14 00:00:00,22351,60.25
2018-03-15 00:00:00,3926,60.27
2018-03-16 00:00:00,3615,60.47
2018-03-19 00:00:00,11934,59.44
2018-03-20 00:00:00,2562,59.6
2018-03-21 00:00:00,5356,59.71
2018-03-22 00:00:00,4087.9999999999995,58.77
2018-03-23 00:00:00,27194,56.6827
2018-03-26 00:00:00,3117,58.08
2018-03-27 00:00:00,6710,57.12
2018-03-28 00:00:00,2577,57.04
2018-03-29 00:00:00,7901,57.791
2018-04-02 00:00:00,5735,56.41
2018-04-03 00:00:00,3235,57.004
2018-04-04 00:00:00,1252,57.83
2018-04-05 00:00:00,169,58.0822
2018-04-06 00:00:00,8547,56.7
2018-04-09 00:00:00,5093,57.06
2018-04-10 00:00:00,3708,58.11
2018-04-11 00:00:00,10666,57.84
2018-04-12 00:00:00,2816,58.41
2018-04-13 00:00:00,3081,58.29
2018-04-16 00:00:00,3196,58.67
2018-04-17 00:00:00,14290,59.3
2018-04-18 00:00:00,571,59.4498
2018-04-19 00:00:00,2291,58.9503
2018-04-20 00:00:00,2602,58.426
2018-04-23 00:00:00,3542,58.4596
2018-04-24 00:00:00,18478,57.53
2018-04-25 00:00:00,521,57.7881
2018-04-26 00:00:00,20663,58.57
2018-04-27 00:00:00,1965.0000000000002,58.4044
2018-04-30 00:00:00,,58.4044
2018-05-01 00:00:00,,58.4044
2018-05-02 00:00:00,3851,58.0596
2018-05-03 00:00:00,42035,57.57
2018-05-04 00:00:00,2964,58.4
2018-05-07 00:00:00,17429,58.6667
2018-05-08 00:00:00,32516.999999999996,58.47
2018-05-09 00:00:00,80200,59.03
2018-05-10 00:00:00,4895,59.629
2018-05-11 00:00:00,14441,59.71
2018-05-14 00:00:00,4211,59.709
2018-05-15 00:00:00,13463,59.2584
2018-05-16 00:00:00,3476,59.51
2018-05-17 00:00:00,1076,59.3703
2018-05-18 00:00:00,6762,59.41
2018-05-21 00:00:00,1794,59.7415
2018-05-22 00:00:00,1561,59.92
2018-05-23 00:00:00,1154,59.81
2018-05-24 00:00:00,2011.0000000000002,59.75
2018-05-25 00:00:00,2467,59.59
2018-05-29 00:00:00,4145,58.82
2018-05-30 00:00:00,17210,59.7
2018-05-31 00:00:00,941,59.33
2018-06-01 00:00:00,1777,59.9
2018-06-04 00:00:00,2674,60.23
2018-06-05 00:00:00,6875,60.25
2018-06-06 00:00:00,103600,60.69
2018-06-07 00:00:00,15994.000000000002,60.72
2018-06-08 00:00:00,7464,60.91
2018-06-11 00:00:00,9831,61.11
2018-06-12 00:00:00,1229,61.0399
