date,volume,price
2018-01-23 00:00:00,106440,53.55
2018-01-24 00:00:00,216272,53.44
2018-01-25 00:00:00,134687,53.4
2018-01-26 00:00:00,131277,57.81
2018-01-29 00:00:00,239688,58.8
2018-01-30 00:00:00,227994,57.15
2018-01-31 00:00:00,183218,58.2
2018-02-01 00:00:00,115600,56.1444
2018-02-02 00:00:00,198709,52.5252
2018-02-05 00:00:00,258469.99999999997,46.16
2018-02-06 00:00:00,170331,49.3173
2018-02-07 00:00:00,85769,49.65
2018-02-08 00:00:00,112436,44.95
2018-02-09 00:00:00,145360,46.6201
2018-02-12 00:00:00,74340,49.0196
2018-02-13 00:00:00,61204,51.7725
2018-02-14 00:00:00,94704,55.86
2018-02-15 00:00:00,132295,59.2
2018-02-16 00:00:00,77052,58.2621
2018-02-20 00:00:00,106180,58.6
2018-02-21 00:00:00,79130,59.2289
2018-02-22 00:00:00,62490,58.9
2018-02-23 00:00:00,72176,62
2018-02-26 00:00:00,86239,64
2018-02-27 00:00:00,103090,61.1779
2018-02-28 00:00:00,71088,60.53
2018-03-01 00:00:00,125111,57.7144
2018-03-02 00:00:00,139425,58.9201
2018-03-05 00:00:00,93716,62.8271
2018-03-06 00:00:00,95492,64.61
2018-03-07 00:00:00,89299,66
2018-03-08 00:00:00,53799,65.04
2018-03-09 00:00:00,101605,68.86
2018-03-12 00:00:00,92853,70.75
2018-03-13 00:00:00,196792,66.58
2018-03-14 00:00:00,88235,69
2018-03-15 00:00:00,65679,69.08
2018-03-16 00:00:00,50875,68.39
2018-03-19 00:00:00,171307,62.32
2018-03-20 00:00:00,117204,61.5945
2018-03-21 00:00:00,75475,61.4
2018-03-22 00:00:00,151977,55.3999
2018-03-23 00:00:00,128467,51.2079
2018-03-26 00:00:00,127392,56.5
2018-03-27 00:00:00,224297,47.11
2018-03-28 00:00:00,227032,43.8
2018-03-29 00:00:00,162480,47
2018-04-02 00:00:00,187786,42.1608
2018-04-03 00:00:00,163039,43.1752
2018-04-04 00:00:00,119554,45.3
2018-04-05 00:00:00,122424,47.38
2018-04-06 00:00:00,88771,44.0496
2018-04-09 00:00:00,98072,44.559
2018-04-10 00:00:00,150176,49.149
2018-04-11 00:00:00,91921,48.3497
2018-04-12 00:00:00,72571,49.489
2018-04-13 00:00:00,42367,48.558
2018-04-16 00:00:00,34065,49
2018-04-17 00:00:00,91006,54.207
2018-04-18 00:00:00,50549,54.7009
2018-04-19 00:00:00,59133,54.2
2018-04-20 00:00:00,81419,51.91
2018-04-23 00:00:00,46024,49.8703
2018-04-24 00:00:00,141645,46.2
2018-04-25 00:00:00,122897,45.3
2018-04-26 00:00:00,109224,49.5
2018-04-27 00:00:00,108095,50.7065
2018-04-30 00:00:00,64585,51.0601
2018-05-01 00:00:00,35743,52.5
2018-05-02 00:00:00,74047,53.59
2018-05-03 00:00:00,50807,52.86
2018-05-04 00:00:00,90420,56.29
2018-05-07 00:00:00,73357,59.118
2018-05-08 00:00:00,33956,60.28
2018-05-09 00:00:00,53765,62.56
2018-05-10 00:00:00,76570,64.5
2018-05-11 00:00:00,59711,63.31
2018-05-14 00:00:00,39516,63.82
2018-05-15 00:00:00,70453,60.862
2018-05-16 00:00:00,31814.000000000004,62.2
2018-05-17 00:00:00,21123,61.5
2018-05-18 00:00:00,24791,58.5
2018-05-21 00:00:00,25984,59.49
