date,volume,price
2018-01-02 00:00:00,0.345,1772994
2018-01-03 00:00:00,0.345,1069637
2018-01-04 00:00:00,0.335,2074152.0000000002
2018-01-05 00:00:00,0.365,876503
2018-01-08 00:00:00,0.41,2239390
2018-01-09 00:00:00,0.38,795382
2018-01-10 00:00:00,0.345,1772310
2018-01-11 00:00:00,0.34,991495
2018-01-12 00:00:00,0.325,1106199
2018-01-15 00:00:00,0.35,724458
2018-01-16 00:00:00,0.32,894210
2018-01-17 00:00:00,0.285,1962211
2018-01-18 00:00:00,0.27,1015455
2018-01-19 00:00:00,0.265,722009
2018-01-22 00:00:00,0.255,529539
2018-01-23 00:00:00,0.29,1248607
2018-01-24 00:00:00,0.29,1498067
2018-01-25 00:00:00,0.255,817665
2018-01-26 00:00:00,0.245,882060
2018-01-29 00:00:00,0.225,1304210
2018-01-30 00:00:00,0.21,945594
2018-01-31 00:00:00,0.23,325267
2018-02-01 00:00:00,0.2,782006
2018-02-02 00:00:00,0.2,1188809
2018-02-05 00:00:00,0.19,1043202
2018-02-06 00:00:00,0.21,709537
2018-02-07 00:00:00,0.205,646168
2018-02-08 00:00:00,0.225,260980
2018-02-09 00:00:00,0.24,845682
2018-02-12 00:00:00,0.24,250191
2018-02-13 00:00:00,0.23,144657
2018-02-14 00:00:00,0.235,558411
2018-02-15 00:00:00,0.24,564354
2018-02-16 00:00:00,0.225,424150
2018-02-20 00:00:00,0.215,378580
2018-02-21 00:00:00,0.215,552392
2018-02-22 00:00:00,0.215,132877
2018-02-23 00:00:00,0.215,100341
2018-02-26 00:00:00,0.22,95775
2018-02-27 00:00:00,0.2,682408
2018-02-28 00:00:00,0.2,471350
2018-03-01 00:00:00,0.2,92300
2018-03-02 00:00:00,0.195,258150
2018-03-05 00:00:00,0.19,293242
2018-03-06 00:00:00,0.185,281180
2018-03-07 00:00:00,0.18,187300
2018-03-08 00:00:00,0.185,66796
2018-03-09 00:00:00,0.185,263300
2018-03-12 00:00:00,0.185,156581
2018-03-13 00:00:00,0.175,116200
2018-03-14 00:00:00,0.165,829674
2018-03-15 00:00:00,0.165,394300
2018-03-16 00:00:00,0.165,575439
2018-03-19 00:00:00,0.17,148661
2018-03-20 00:00:00,0.17,84790
2018-03-21 00:00:00,0.17,217600
2018-03-22 00:00:00,0.155,179700
2018-03-23 00:00:00,0.145,572750
2018-03-26 00:00:00,0.145,76250
2018-03-27 00:00:00,0.13,314135
2018-03-28 00:00:00,0.14,489630
2018-03-29 00:00:00,0.14,74520
2018-04-02 00:00:00,0.14,438820
2018-04-03 00:00:00,0.14,166817
2018-04-04 00:00:00,0.13,143450
2018-04-05 00:00:00,0.125,377615
2018-04-06 00:00:00,0.125,84926
2018-04-09 00:00:00,0.12,317850
2018-04-10 00:00:00,0.145,657547
2018-04-11 00:00:00,0.14,141190
2018-04-12 00:00:00,0.16,246450
2018-04-13 00:00:00,0.165,287698
2018-04-16 00:00:00,0.165,69600
2018-04-17 00:00:00,0.15,341900
