date,volume,price
2018-02-22 00:00:00,5346347,126.3
2018-02-23 00:00:00,4239709,126.14
2018-02-26 00:00:00,3194743,126.45
2018-02-27 00:00:00,7082301,125.13
2018-02-28 00:00:00,4534884,125
2018-03-01 00:00:00,12910070,124.72
2018-03-02 00:00:00,9994341,125.39
2018-03-05 00:00:00,5778343,125.18
2018-03-06 00:00:00,8676781,126.53
2018-03-07 00:00:00,5158674,125.72
2018-03-08 00:00:00,3474944,125.42
2018-03-09 00:00:00,5066833,125.54
2018-03-12 00:00:00,2884269,125.54
2018-03-13 00:00:00,4798303,125.78
2018-03-14 00:00:00,3777021,125.7
2018-03-15 00:00:00,6130124,124.9
2018-03-16 00:00:00,7402188,124.6
2018-03-19 00:00:00,4335420,124.87
2018-03-20 00:00:00,3399440,124.31
2018-03-21 00:00:00,12532040,126.48
2018-03-22 00:00:00,5298709,125.98
2018-03-23 00:00:00,12025880,127.61
2018-03-26 00:00:00,6169843,128.28
2018-03-27 00:00:00,6180707,127.49
2018-03-28 00:00:00,10254880,125.73
2018-03-29 00:00:00,7117156,125.79
2018-04-02 00:00:00,11421140,127.26
2018-04-03 00:00:00,6083717,126.3
2018-04-04 00:00:00,7488254,126.45
2018-04-05 00:00:00,5332957,125.8
2018-04-06 00:00:00,6121225,126.39
2018-04-09 00:00:00,4189864,126.82
2018-04-10 00:00:00,5403992,127.12
2018-04-11 00:00:00,12348560,128.11
2018-04-12 00:00:00,8141339,126.62
2018-04-13 00:00:00,6821338,127.45
2018-04-16 00:00:00,4600039,127.63
2018-04-17 00:00:00,4184077.0000000005,127.75
2018-04-18 00:00:00,6755575,127.85
2018-04-19 00:00:00,8736103,127.6
2018-04-20 00:00:00,10403130,126.63
2018-04-23 00:00:00,6921519,125.62
2018-04-24 00:00:00,4733107,126.23
2018-04-25 00:00:00,5985694,125.41
2018-04-26 00:00:00,7517135,124.97
2018-04-27 00:00:00,5653996,125.5
2018-04-30 00:00:00,9830612,124.59
2018-05-01 00:00:00,7551577,123.71
2018-05-02 00:00:00,7614019,123.65
2018-05-03 00:00:00,4857387,124.28
2018-05-04 00:00:00,5883574,124.54
2018-05-07 00:00:00,3397508,124.57
2018-05-08 00:00:00,5551078,124.59
2018-05-09 00:00:00,4405593,124.33
2018-05-10 00:00:00,5218356,125.18
2018-05-11 00:00:00,4299164,125
2018-05-14 00:00:00,3753223,124.49
2018-05-15 00:00:00,10911850,122.48
2018-05-16 00:00:00,4943275,122.29
2018-05-17 00:00:00,7781336,122.36
2018-05-18 00:00:00,6837125,122.41
2018-05-21 00:00:00,4126673.0000000005,122.48
2018-05-22 00:00:00,4579602,122.41
2018-05-23 00:00:00,7007256,122.54
2018-05-24 00:00:00,8850085,123.59
2018-05-25 00:00:00,7920650,123.21
2018-05-29 00:00:00,9013170,123.19
2018-05-30 00:00:00,4573697,123.37
2018-05-31 00:00:00,7862495,123.1
2018-06-01 00:00:00,8059120.999999999,122.49
2018-06-04 00:00:00,4345370,122.37
2018-06-05 00:00:00,6864209,122.85
2018-06-06 00:00:00,4083701.9999999995,122.92
2018-06-07 00:00:00,3700745,122.86
2018-06-08 00:00:00,3865667,123.01
2018-06-11 00:00:00,3201179,123.23
2018-06-12 00:00:00,7279620,122.82
2018-06-13 00:00:00,5867744,123.19
2018-06-14 00:00:00,8015447,123.38
2018-06-15 00:00:00,14536990,121.34
2018-06-18 00:00:00,3845950,121.11
2018-06-19 00:00:00,4925832,120.8
2018-06-20 00:00:00,4548491,120.26
2018-06-21 00:00:00,5681906,120.05
2018-06-22 00:00:00,4518408,120.34
2018-06-25 00:00:00,9300195,119.89
2018-06-26 00:00:00,8675447,119.26
2018-06-27 00:00:00,6480501,118.58
2018-06-28 00:00:00,7760936,118.22
2018-06-29 00:00:00,8002827.999999999,118.65
2018-07-02 00:00:00,12021960,117.46
2018-07-03 00:00:00,8900973,118.65
2018-07-05 00:00:00,4951873,119.05
2018-07-06 00:00:00,2947058,118.86
2018-07-09 00:00:00,4075297,119.15
2018-07-10 00:00:00,3754770,118.93
2018-07-11 00:00:00,6974791,117.64
2018-07-12 00:00:00,4585460,118.13
2018-07-13 00:00:00,5444284,117.61
2018-07-16 00:00:00,3670943,117.55
2018-07-17 00:00:00,7939635,116.28
2018-07-18 00:00:00,5391963,116.31
2018-07-19 00:00:00,14227630,115.81
2018-07-20 00:00:00,7892317,116.56
2018-07-23 00:00:00,6247368,116
2018-07-24 00:00:00,4801046,116.04
2018-07-25 00:00:00,5480914,116.68
2018-07-26 00:00:00,6382946,115.77
2018-07-27 00:00:00,5242099,115.83
2018-07-30 00:00:00,4157371.0000000005,115.65
2018-07-31 00:00:00,5508456,115.99
2018-08-01 00:00:00,7941660,115.14
2018-08-02 00:00:00,6204210,114.52
2018-08-03 00:00:00,5953227,114.92
2018-08-06 00:00:00,5811614,114.33
2018-08-07 00:00:00,5188447,114.59
2018-08-08 00:00:00,3809872,114.91
2018-08-09 00:00:00,4252956,114.74
2018-08-10 00:00:00,6757857,114.69
2018-08-13 00:00:00,9150873,112.96
2018-08-14 00:00:00,7086193,113.07
2018-08-15 00:00:00,12398370,111.19
2018-08-16 00:00:00,7484637,111.1
2018-08-17 00:00:00,8470951,112.13
2018-08-20 00:00:00,5313403,112.69
2018-08-21 00:00:00,5042443,113.02
2018-08-22 00:00:00,6215910,113.27
2018-08-23 00:00:00,5500102,112.2
2018-08-24 00:00:00,9214703,114.16
2018-08-27 00:00:00,4364167,114.59
2018-08-28 00:00:00,6101386,113.68
2018-08-29 00:00:00,5616329,114.2
2018-08-30 00:00:00,5431837,113.64
