date,volume,price
2018-02-22 00:00:00,37074410,164.8
2018-02-23 00:00:00,50096920,168.17
2018-02-26 00:00:00,39266660,170.4
2018-02-27 00:00:00,42209870,168.29
2018-02-28 00:00:00,42936330,167.21
2018-03-01 00:00:00,76809900,164.48
2018-03-02 00:00:00,57445060,165.99
2018-03-05 00:00:00,38540210,167.83
2018-03-06 00:00:00,29480930,168.54
2018-03-07 00:00:00,34609410,168.93
2018-03-08 00:00:00,25828370,169.86
2018-03-09 00:00:00,38310550,173.16
2018-03-12 00:00:00,37634970,174.08
2018-03-13 00:00:00,55638930,171.71
2018-03-14 00:00:00,40536380,171.68
2018-03-15 00:00:00,28810370,171.53
2018-03-16 00:00:00,31176740,171.02
2018-03-19 00:00:00,71395060,167.1
2018-03-20 00:00:00,34075660,167.65
2018-03-21 00:00:00,43863540,166.92
2018-03-22 00:00:00,66607290.00000001,162.8
2018-03-23 00:00:00,80110390,158.51
2018-03-26 00:00:00,57481500,164.4
2018-03-27 00:00:00,78889110,159.08
2018-03-28 00:00:00,89369660,157.25
2018-03-29 00:00:00,68692570,160.13
2018-04-02 00:00:00,85549440,155.51
2018-04-03 00:00:00,64090050.00000001,157.26
2018-04-04 00:00:00,65768690.00000001,159.74
2018-04-05 00:00:00,43054870,160.65
2018-04-06 00:00:00,59870870,156.63
2018-04-09 00:00:00,41810380,157.73
2018-04-10 00:00:00,48601320,161.21
2018-04-11 00:00:00,41622140,160.28
2018-04-12 00:00:00,30467890,162.21
2018-04-13 00:00:00,44604890,161.37
2018-04-16 00:00:00,28180780,162.6
2018-04-17 00:00:00,35536090,166.1
2018-04-18 00:00:00,29573880,166.44
2018-04-19 00:00:00,34705690,164.91
2018-04-20 00:00:00,49197140,162.3
2018-04-23 00:00:00,33040650,161.89
2018-04-24 00:00:00,70256750,158.46
2018-04-25 00:00:00,52089320,158.65
2018-04-26 00:00:00,43005530,161.99
2018-04-27 00:00:00,51043410,162.09
2018-04-30 00:00:00,35615270,160.94
2018-05-01 00:00:00,36513530,162.78
2018-05-02 00:00:00,38646840,161.82
2018-05-03 00:00:00,60337130,161.8
2018-05-04 00:00:00,41543240,164.87
2018-05-07 00:00:00,32500149.999999996,166.24
2018-05-08 00:00:00,26040170,166.07
2018-05-09 00:00:00,29122720,167.88
2018-05-10 00:00:00,27067600,169.62
2018-05-11 00:00:00,24688850,169.46
2018-05-14 00:00:00,21821750,169.75
2018-05-15 00:00:00,49361640,167.87
2018-05-16 00:00:00,22941160,168.98
2018-05-17 00:00:00,27480160,168.33
2018-05-18 00:00:00,26217940,167.46
2018-05-21 00:00:00,22954570,168.4
2018-05-22 00:00:00,19477720,168.18
2018-05-23 00:00:00,26557840,169.6
2018-05-24 00:00:00,27696540,169.55
2018-05-25 00:00:00,27460540,169.72
2018-05-29 00:00:00,41220470,168.97
2018-05-30 00:00:00,22665840,170.18
2018-05-31 00:00:00,35670950,170.07
2018-06-01 00:00:00,45543330,172.74
2018-06-04 00:00:00,20459630,174.3
2018-06-05 00:00:00,24779284,174.84
2018-06-06 00:00:00,25036650,175.86
2018-06-07 00:00:00,39600320,174.43
2018-06-08 00:00:00,31780350,174.44
2018-06-11 00:00:00,22319710,174.91
2018-06-12 00:00:00,22511832,175.83
2018-06-13 00:00:00,37858580,175.82
2018-06-14 00:00:00,35915980,177.6
2018-06-15 00:00:00,49615730,176.98
2018-06-18 00:00:00,31633192,176.5
2018-06-19 00:00:00,38235994,176
2018-06-20 00:00:00,33038040.000000004,177.25
2018-06-21 00:00:00,43469440,175.71
2018-06-22 00:00:00,30073190,175.32
2018-06-25 00:00:00,77799730,171.37
2018-06-26 00:00:00,39008146,172.07
2018-06-27 00:00:00,52843500,169.73
2018-06-28 00:00:00,46407708,171.19
2018-06-29 00:00:00,36408464,171.65
2018-07-02 00:00:00,31770030,172.8
