date,volume,price
2018-01-02 00:00:00,8908522,50.185
2018-01-03 00:00:00,7617038,50.895
2018-01-04 00:00:00,6700356,51.155
2018-01-05 00:00:00,3584764,51.485
2018-01-08 00:00:00,2768354,51.84
2018-01-09 00:00:00,7800618,51.355
2018-01-10 00:00:00,7958878,50.675
2018-01-11 00:00:00,5162510,50.915
2018-01-12 00:00:00,3809288,51.175
2018-01-16 00:00:00,7623556,51.41
2018-01-17 00:00:00,12286408,52.945
2018-01-18 00:00:00,7106652,53.335
2018-01-19 00:00:00,6568412,53.385
2018-01-22 00:00:00,4790528,53.91
2018-01-23 00:00:00,7356408,54.26
2018-01-24 00:00:00,14236198,53.16
2018-01-25 00:00:00,13986854,52.3
2018-01-26 00:00:00,7895854,53.965
2018-01-29 00:00:00,8147378,53.865
2018-01-30 00:00:00,10836570,52.81
2018-01-31 00:00:00,7529960,53.255
2018-02-01 00:00:00,8369021.999999999,52.93
2018-02-02 00:00:00,26015480,51.455
2018-02-05 00:00:00,22948040,49.135
2018-02-06 00:00:00,26244860,50.945
2018-02-07 00:00:00,20566680,49.6
2018-02-08 00:00:00,29822160,47.625
2018-02-09 00:00:00,34208380,48.87
2018-02-12 00:00:00,19013912,49.905
2018-02-13 00:00:00,7415042,49.805
2018-02-14 00:00:00,10839756,50.865
2018-02-15 00:00:00,9639322,51.505
2018-02-16 00:00:00,12480418,51.395
2018-02-20 00:00:00,29405860,52.415
2018-02-21 00:00:00,8997876,51.845
2018-02-22 00:00:00,8959308,51.67
2018-02-23 00:00:00,6304898,52.83
2018-02-26 00:00:00,9254246,53.895
2018-02-27 00:00:00,7976606,53.695
2018-02-28 00:00:00,6339668,53.27
2018-03-01 00:00:00,10790564,52.42
2018-03-02 00:00:00,10659688,53.24
2018-03-05 00:00:00,9524750,53.855
2018-03-06 00:00:00,8957382,54.645
2018-03-07 00:00:00,7681940,54.88
2018-03-08 00:00:00,6517966,54.905
2018-03-09 00:00:00,8815254,55.965
2018-03-12 00:00:00,8825600,56.535
2018-03-13 00:00:00,18245762,55.745
2018-03-14 00:00:00,12020944,55.775
2018-03-15 00:00:00,3826260,55.725
2018-03-16 00:00:00,5936992,55.705
2018-03-19 00:00:00,14245350,54.8
2018-03-20 00:00:00,6683958,55.17
2018-03-21 00:00:00,6437194,55.285
2018-03-22 00:00:00,8698806,53.795
2018-03-23 00:00:00,16819460,52.05
2018-03-26 00:00:00,11172390,54.12
2018-03-27 00:00:00,17266244,52.255
2018-03-28 00:00:00,21806600,51.095
2018-03-29 00:00:00,13203168,52.14
2018-04-02 00:00:00,18445094,50.23
2018-04-03 00:00:00,10773260,51.155
2018-04-04 00:00:00,11654018,51.78
2018-04-05 00:00:00,12227974,51.21
2018-04-06 00:00:00,13935584,49.73
2018-04-09 00:00:00,13015328,50.07
2018-04-10 00:00:00,15451716,51.6
2018-04-11 00:00:00,8595630,51.575
2018-04-12 00:00:00,9236826,52.43
2018-04-13 00:00:00,9073984,51.94
2018-04-16 00:00:00,5267214,52.045
2018-04-17 00:00:00,8727544,52.995
2018-04-18 00:00:00,8457968,52.395
2018-04-19 00:00:00,32931399.999999996,50.06
2018-04-20 00:00:00,26132720,49.485
2018-04-23 00:00:00,17681082,48.845
2018-04-24 00:00:00,30902100,48.595
2018-04-25 00:00:00,18606326,48.35
2018-04-26 00:00:00,13144702,49.365
2018-04-27 00:00:00,11083172,49.045
2018-04-30 00:00:00,15927814,48.58
2018-05-01 00:00:00,13111200,49.36
2018-05-02 00:00:00,9036380,49.005
2018-05-03 00:00:00,19701852,49.125
2018-05-04 00:00:00,21447800,50.4
2018-05-07 00:00:00,13800194,50.67
2018-05-08 00:00:00,7606040,51.025
2018-05-09 00:00:00,8065310,51.75
2018-05-10 00:00:00,9350072,52.61
2018-05-11 00:00:00,8866082,52.205
2018-05-14 00:00:00,13298158,53.115
2018-05-15 00:00:00,9570666,52.52
2018-05-16 00:00:00,6934914,53.265
2018-05-17 00:00:00,7238570,52.915
2018-05-18 00:00:00,20494500,52.275
2018-05-21 00:00:00,7672364,53.025
2018-05-22 00:00:00,8696098,53.405
2018-05-23 00:00:00,8442640,53.465
2018-05-24 00:00:00,13344742,53.62
2018-05-25 00:00:00,8586512,54.155
2018-05-29 00:00:00,9106142,53.72
2018-05-30 00:00:00,10787882,54.045
2018-05-31 00:00:00,8662784,53.595
2018-06-01 00:00:00,9739422,54.765
2018-06-04 00:00:00,7768128,55.14
2018-06-05 00:00:00,7509960,55.45
2018-06-06 00:00:00,5478594,55.805
2018-06-07 00:00:00,18663690,55.36
2018-06-08 00:00:00,9494016,54.985
2018-06-11 00:00:00,6086154,54.925
2018-06-12 00:00:00,5087762,55.09
2018-06-13 00:00:00,14153434,54.975
2018-06-14 00:00:00,6599522,55.06
2018-06-15 00:00:00,12882516,55.15
2018-06-18 00:00:00,10525650,54.485
2018-06-19 00:00:00,22231900,53.835
2018-06-20 00:00:00,11111216,54.17
2018-06-21 00:00:00,14488274,53.495
2018-06-22 00:00:00,8472194,53.295
2018-06-25 00:00:00,23357900,51.37
2018-06-26 00:00:00,16500613.999999998,51.845
2018-06-27 00:00:00,16876048,50.575
2018-06-28 00:00:00,13538386,51.085
2018-06-29 00:00:00,10350096,51.335
2018-07-02 00:00:00,9164672,51.355
2018-07-03 00:00:00,8588820,50.455
2018-07-05 00:00:00,10402852,51.815
2018-07-06 00:00:00,14636578,52.475
2018-07-09 00:00:00,8466532,52.87
2018-07-10 00:00:00,12548840,53.44
2018-07-11 00:00:00,15928990,51.97
2018-07-12 00:00:00,11962888,52.6
2018-07-13 00:00:00,5693150,52.49
2018-07-16 00:00:00,5518018,52.33
2018-07-17 00:00:00,16616284,53.02
2018-07-18 00:00:00,9589542,53.56
2018-07-19 00:00:00,8347268,53.385
2018-07-20 00:00:00,7077894,53.33
2018-07-23 00:00:00,10663898,53.295
2018-07-24 00:00:00,20837340,52.63
2018-07-25 00:00:00,22300160,52.895
2018-07-26 00:00:00,32806480,53.675
2018-07-27 00:00:00,16984686,53.41
2018-07-30 00:00:00,18956980,53.045
2018-07-31 00:00:00,8763482,52.945
2018-08-01 00:00:00,7098214,53.175
2018-08-02 00:00:00,8160650,53.71
2018-08-03 00:00:00,6058186,53.795
2018-08-06 00:00:00,6070722,54.08
2018-08-07 00:00:00,6405942,54.445
2018-08-08 00:00:00,7377740,54.615
2018-08-09 00:00:00,7200054,54.085
2018-08-10 00:00:00,17227394,52.815
2018-08-13 00:00:00,7944488,52.875
2018-08-14 00:00:00,8239651.999999999,52.75
