date,volume,price
2018-01-02 00:00:00,11.634,1465450
2018-01-03 00:00:00,11.92,1693470
2018-01-04 00:00:00,12.125,1432810
2018-01-05 00:00:00,12.513,1925000
2018-01-08 00:00:00,12.647,1596860
2018-01-09 00:00:00,12.538,1757490
2018-01-10 00:00:00,12.3985,1657460
2018-01-11 00:00:00,12.58,1247970
2018-01-12 00:00:00,12.774,1539800
2018-01-16 00:00:00,12.627,2477880
2018-01-17 00:00:00,13.196,1579040
2018-01-18 00:00:00,13.263,1744860
2018-01-19 00:00:00,13.314,1797320
2018-01-22 00:00:00,13.702,2481180
2018-01-23 00:00:00,13.923,2181350
2018-01-24 00:00:00,13.599,3112850
2018-01-25 00:00:00,13.509,2118270
2018-01-26 00:00:00,14.115,2294550
2018-01-29 00:00:00,13.752,2273150
2018-01-30 00:00:00,13.363,2853220
2018-01-31 00:00:00,13.68399,1845530
2018-02-01 00:00:00,13.702,2503040
2018-02-02 00:00:00,12.476,5533660
2018-02-05 00:00:00,10.947,8648500
2018-02-06 00:00:00,11.879,6868680
2018-02-07 00:00:00,11.404,3774910
2018-02-08 00:00:00,10.151,4333110
2018-02-09 00:00:00,10.703,6379870
2018-02-12 00:00:00,11.292,4484420
2018-02-13 00:00:00,11.368,2594060
2018-02-14 00:00:00,12.002,3446310
2018-02-15 00:00:00,12.668,3586590
2018-02-16 00:00:00,12.589,3873900
2018-02-20 00:00:00,12.666,3108550
2018-02-21 00:00:00,12.4,2984230
2018-02-22 00:00:00,12.433,2964240
2018-02-23 00:00:00,13.195,3321340
2018-02-26 00:00:00,13.822,2963870
2018-02-27 00:00:00,13.433,3326660
2018-02-28 00:00:00,13.117,2880630
2018-03-01 00:00:00,12.477,4993600
2018-03-02 00:00:00,12.829,3596570
2018-03-05 00:00:00,13.209,2796870
2018-03-06 00:00:00,13.3,2764430
2018-03-07 00:00:00,13.522,2657540
2018-03-08 00:00:00,13.686,2101660
2018-03-09 00:00:00,14.458,4936470
2018-03-12 00:00:00,14.596,2243670
2018-03-13 00:00:00,14.108,4241980
2018-03-14 00:00:00,14.066,2337550
2018-03-15 00:00:00,14.09,1573230
2018-03-16 00:00:00,14.025,1153480
2018-03-19 00:00:00,13.19,5058530
2018-03-20 00:00:00,13.182,2076930
2018-03-21 00:00:00,12.94,2856370
2018-03-22 00:00:00,11.913,4281080
2018-03-23 00:00:00,10.974,4187929.9999999995
2018-03-26 00:00:00,12.228,4904050
2018-03-27 00:00:00,11.047,4954170
2018-03-28 00:00:00,10.827,4238930
2018-03-29 00:00:00,11.44,4471010
2018-04-02 00:00:00,10.647,4969610
2018-04-03 00:00:00,10.951,3449320
2018-04-04 00:00:00,11.401,3010100
2018-04-05 00:00:00,11.546,2411160
2018-04-06 00:00:00,10.702,2761420
2018-04-09 00:00:00,10.929,2584750
2018-04-10 00:00:00,11.723,3295470
2018-04-11 00:00:00,11.533,2257890
2018-04-12 00:00:00,11.944,2751480
2018-04-13 00:00:00,11.811,2465360
2018-04-16 00:00:00,12.089,1700100
2018-04-17 00:00:00,12.764,2658770
2018-04-18 00:00:00,12.671,2214860
2018-04-19 00:00:00,12.238,2325270
2018-04-20 00:00:00,11.692,3101300
2018-04-23 00:00:00,11.594,1961720
2018-04-24 00:00:00,10.989,3085850
2018-04-25 00:00:00,10.99,2301890
2018-04-26 00:00:00,11.585,2640450
2018-04-27 00:00:00,11.503,2162650
2018-04-30 00:00:00,11.276,1700640
2018-05-01 00:00:00,11.706,1697200
2018-05-02 00:00:00,11.664,1944980
2018-05-03 00:00:00,11.757,2256530
2018-05-04 00:00:00,12.427,3280010
2018-05-07 00:00:00,12.688,3115480
2018-05-08 00:00:00,12.738,1458430
2018-05-09 00:00:00,13.208,2761010
2018-05-10 00:00:00,13.728,2418640
2018-05-11 00:00:00,13.671,2125310
2018-05-14 00:00:00,13.659,1598050
2018-05-15 00:00:00,13.267,3087270
2018-05-16 00:00:00,13.449,1481180
2018-05-17 00:00:00,13.245,1328240
2018-05-18 00:00:00,13.074,834100
2018-05-21 00:00:00,13.403,1932330
2018-05-22 00:00:00,13.335,1509290
2018-05-23 00:00:00,13.64,1793720
