date,volume,price
2018-01-02 00:00:00,10.689166,181764
2018-01-03 00:00:00,10.9575,199176
2018-01-04 00:00:00,10.989166,116280
2018-01-05 00:00:00,11.071833,171936
2018-01-08 00:00:00,11.285,336804
2018-01-09 00:00:00,11.007183,206556
2018-01-10 00:00:00,10.71,343872
2018-01-11 00:00:00,10.859166,67152
2018-01-12 00:00:00,10.900766,95868
2018-01-16 00:00:00,10.993066,145032
2018-01-17 00:00:00,11.583333,180120
2018-01-18 00:00:00,11.614166,127860
2018-01-19 00:00:00,11.653333,151452
2018-01-22 00:00:00,11.859166,105072
2018-01-23 00:00:00,12.065,191172
2018-01-24 00:00:00,11.523333,421080
2018-01-25 00:00:00,11.191666,288708
2018-01-26 00:00:00,12.081666,333324
2018-01-29 00:00:00,12.085833,233652
2018-01-30 00:00:00,11.529166,247260
2018-01-31 00:00:00,11.655,176472
2018-02-01 00:00:00,11.388333,241212
2018-02-02 00:00:00,10.790833,565068
2018-02-05 00:00:00,9.719166,855384
2018-02-06 00:00:00,10.496666,557796
2018-02-07 00:00:00,10.325,239484
2018-02-08 00:00:00,9.299166,420432
2018-02-09 00:00:00,9.889991,375432
2018-02-12 00:00:00,10.240833,255191.99999999997
2018-02-13 00:00:00,10.263333,143832
2018-02-14 00:00:00,10.753333,216240
2018-02-15 00:00:00,11.015,211680
2018-02-16 00:00:00,10.925,237144
2018-02-20 00:00:00,11.151666,220584
2018-02-21 00:00:00,11.046916,69660
2018-02-22 00:00:00,10.963333,105480
2018-02-23 00:00:00,11.468333,241980
2018-02-26 00:00:00,11.994166,179604
2018-02-27 00:00:00,12.051291,219624
2018-02-28 00:00:00,11.749166,84732
2018-03-01 00:00:00,11.2425,400476
2018-03-02 00:00:00,11.696666,157500
2018-03-05 00:00:00,11.868333,170412
2018-03-06 00:00:00,12.253333,200064
2018-03-07 00:00:00,12.300833,253691.99999999997
2018-03-08 00:00:00,12.250833,83376
2018-03-09 00:00:00,12.791666,224832
2018-03-12 00:00:00,13.06,257832
2018-03-13 00:00:00,12.754166,278100
2018-03-14 00:00:00,12.690008,122496
2018-03-15 00:00:00,12.681675,95076
2018-03-16 00:00:00,12.751666,85320
2018-03-19 00:00:00,12.1625,290664
2018-03-20 00:00:00,12.431666,116808
2018-03-21 00:00:00,12.455416,104496
2018-03-22 00:00:00,11.822958,122520
2018-03-23 00:00:00,11.011666,218832
2018-03-26 00:00:00,12.038333,234744
2018-03-27 00:00:00,11.099166,239364
2018-03-28 00:00:00,10.616666,241500
2018-03-29 00:00:00,11.203333,207108
2018-04-02 00:00:00,10.2625,901848
2018-04-03 00:00:00,10.615,170868
2018-04-04 00:00:00,10.89,152424
2018-04-05 00:00:00,10.668333,82620
2018-04-06 00:00:00,10.074966,193980
2018-04-09 00:00:00,10.180158,137220
2018-04-10 00:00:00,10.863333,209004
2018-04-11 00:00:00,10.834333,75972
2018-04-12 00:00:00,11.331666,380016
2018-04-13 00:00:00,11.191258,93492
2018-04-16 00:00:00,11.235,60540
2018-04-17 00:00:00,11.69815,111000
2018-04-18 00:00:00,11.588333,103908
2018-04-19 00:00:00,10.6575,237576
2018-04-20 00:00:00,10.409991,176520
2018-04-23 00:00:00,10.085833,87792
2018-04-24 00:00:00,9.951666,240912
2018-04-25 00:00:00,9.87,116532
2018-04-26 00:00:00,10.4075,108636
2018-04-27 00:00:00,10.319166,166620
2018-04-30 00:00:00,10.050833,116088
2018-05-01 00:00:00,10.400833,509460
2018-05-02 00:00:00,10.226666,105864
2018-05-03 00:00:00,10.308625,125808
2018-05-04 00:00:00,10.823333,636156
2018-05-07 00:00:00,11.1,359532
2018-05-08 00:00:00,11.216666,175368
2018-05-09 00:00:00,11.573333,214392
2018-05-10 00:00:00,12.0075,279996
2018-05-11 00:00:00,11.806666,84300
2018-05-14 00:00:00,12.045,176148
2018-05-15 00:00:00,11.656666,146700
2018-05-16 00:00:00,11.971666,104460
2018-05-17 00:00:00,11.938416,132420
2018-05-18 00:00:00,11.555833,109404
2018-05-21 00:00:00,11.78,145140
2018-05-22 00:00:00,11.8875,113460
2018-05-23 00:00:00,12.114166,103560
2018-05-24 00:00:00,12.1775,185600
2018-05-25 00:00:00,12.42,142144
2018-05-29 00:00:00,12.355,116640
2018-05-30 00:00:00,12.5175,79252
2018-05-31 00:00:00,12.2925,113620
2018-06-01 00:00:00,12.8725,179868
2018-06-04 00:00:00,13.042525,164808
2018-06-05 00:00:00,13.125,92716
2018-06-06 00:00:00,13.2925,116736
2018-06-07 00:00:00,13.0475,110680
2018-06-08 00:00:00,12.8175,73148
2018-06-11 00:00:00,12.717,83260
2018-06-12 00:00:00,12.805,86480
2018-06-13 00:00:00,12.7575,113704
2018-06-14 00:00:00,12.935,76920
2018-06-15 00:00:00,12.88,83848
2018-06-18 00:00:00,12.5,357632
2018-06-19 00:00:00,12.3075,224460
2018-06-20 00:00:00,12.422525,85536
2018-06-21 00:00:00,12.0875,163016
2018-06-22 00:00:00,11.875,43588
2018-06-25 00:00:00,11.115,230688
2018-06-26 00:00:00,11.1375,78396
2018-06-27 00:00:00,10.5925,87228
2018-06-28 00:00:00,10.79,86644
2018-06-29 00:00:00,10.8275,101152
2018-07-02 00:00:00,10.985,121628
2018-07-03 00:00:00,10.5675,49540
2018-07-05 00:00:00,11.1275,90748
2018-07-06 00:00:00,11.4025,123388
2018-07-09 00:00:00,11.55,101256
2018-07-10 00:00:00,11.7975,119108
2018-07-11 00:00:00,11.24,98788
2018-07-12 00:00:00,11.375,201392
2018-07-13 00:00:00,11.265,113592
2018-07-16 00:00:00,11.205,39912
2018-07-17 00:00:00,11.47,60104
2018-07-18 00:00:00,11.537625,82588
2018-07-19 00:00:00,11.475,51156
2018-07-20 00:00:00,11.365,29640
2018-07-23 00:00:00,11.4,79648
2018-07-24 00:00:00,11.245,81448
2018-07-25 00:00:00,11.386525,94128
2018-07-26 00:00:00,11.6825,74160
2018-07-27 00:00:00,11.2025,63640
2018-07-30 00:00:00,10.97505,115208
2018-07-31 00:00:00,11.1425,150380
2018-08-01 00:00:00,11.1225,57876
2018-08-02 00:00:00,11.385,62408
2018-08-03 00:00:00,11.4475,54308
2018-08-06 00:00:00,11.565,127412
2018-08-07 00:00:00,11.7725,97732
2018-08-08 00:00:00,11.8525,44968
2018-08-09 00:00:00,11.655,62140
2018-08-10 00:00:00,11.14,115100
2018-08-13 00:00:00,11.13,58504
2018-08-14 00:00:00,11.11,51696
2018-08-15 00:00:00,10.8025,179364
2018-08-16 00:00:00,10.7575,76256
2018-08-17 00:00:00,10.5125,197084
2018-08-20 00:00:00,10.465,121980
2018-08-21 00:00:00,10.91,132192
2018-08-22 00:00:00,10.995,47444
2018-08-23 00:00:00,11.0075,66268
2018-08-24 00:00:00,11.31675,106780
2018-08-27 00:00:00,11.66045,81896
2018-08-28 00:00:00,11.7275,65468
2018-08-29 00:00:00,11.794975,70796
2018-08-30 00:00:00,11.6275,78696
2018-08-31 00:00:00,11.77,78948
2018-09-04 00:00:00,11.835,82316
2018-09-05 00:00:00,11.64375,46100
2018-09-06 00:00:00,11.12,114848
2018-09-07 00:00:00,11.02,78376
2018-09-10 00:00:00,11.2175,42484
2018-09-11 00:00:00,10.87,97956
2018-09-12 00:00:00,10.615,136356
2018-09-13 00:00:00,10.9325,82788
2018-09-14 00:00:00,11.0975,58596
2018-09-17 00:00:00,10.83,83164
2018-09-18 00:00:00,11.0625,35636
2018-09-19 00:00:00,11.1125,48900
2018-09-20 00:00:00,11.3475,54648
2018-09-21 00:00:00,11.2475,102140
2018-09-24 00:00:00,11.3225,30132
2018-09-25 00:00:00,11.0275,47048
2018-09-26 00:00:00,10.8175,46736
