date,volume,price
2018-02-22 00:00:00,173.97,410870
2018-02-23 00:00:00,177.51,394491
2018-02-26 00:00:00,180.16,997447
2018-02-27 00:00:00,178.51,1280080
2018-02-28 00:00:00,177.34,456976
2018-03-01 00:00:00,174.55,1265166
2018-03-02 00:00:00,176.5,655888
2018-03-05 00:00:00,178.31,473197
2018-03-06 00:00:00,178.91,6564453
2018-03-07 00:00:00,180.04,651730
2018-03-08 00:00:00,180.74,558570
2018-03-09 00:00:00,184.31,671505
2018-03-12 00:00:00,184.96,778945
2018-03-13 00:00:00,182.72,835199
2018-03-14 00:00:00,182.76,495456
2018-03-15 00:00:00,182.8,388454
2018-03-16 00:00:00,182.21,312911
2018-03-19 00:00:00,178.63,748091
2018-03-20 00:00:00,178.81,404778
2018-03-21 00:00:00,178.03,490098
2018-03-22 00:00:00,173.25,660518
2018-03-23 00:00:00,168.63,806575
2018-03-26 00:00:00,175.03,557145
2018-03-27 00:00:00,169.09,991436
2018-03-28 00:00:00,167.42,849069
2018-03-29 00:00:00,171,567194
2018-04-02 00:00:00,166.88,954883
2018-04-03 00:00:00,168.39,644540
2018-04-04 00:00:00,170.62,581177
2018-04-05 00:00:00,171.34,425494
2018-04-06 00:00:00,167.2,493999
2018-04-09 00:00:00,168.34,413386
2018-04-10 00:00:00,172.48,627525
2018-04-11 00:00:00,171.77,389490
2018-04-12 00:00:00,173.91,303533
2018-04-13 00:00:00,173.22,474646
2018-04-16 00:00:00,174.42,343525
2018-04-17 00:00:00,178.04,479172
2018-04-18 00:00:00,177.74,399916
2018-04-19 00:00:00,175.65,380514
2018-04-20 00:00:00,173.19,824268
2018-04-23 00:00:00,172.47,373543
2018-04-24 00:00:00,169.21,640199
2018-04-25 00:00:00,168.94,569939
2018-04-26 00:00:00,172.37,342511
2018-04-27 00:00:00,171.64,386299
2018-04-30 00:00:00,170.96,509895
2018-05-01 00:00:00,173.02,368387
2018-05-02 00:00:00,173.07,390062
2018-05-03 00:00:00,173.61,383832
2018-05-04 00:00:00,176.88,506140.00000000006
2018-05-07 00:00:00,178.41,749069
2018-05-08 00:00:00,179.09,638158
2018-05-09 00:00:00,181.44,504117.00000000006
2018-05-10 00:00:00,183.6,577088
2018-05-11 00:00:00,183.07,396149
2018-05-14 00:00:00,182.84,782088
2018-05-15 00:00:00,181.25,672282
2018-05-16 00:00:00,182.2,329923
2018-05-17 00:00:00,181.3,326094
2018-05-18 00:00:00,180.6,279416
2018-05-21 00:00:00,182.01,360009
2018-05-22 00:00:00,181.58,264351
2018-05-23 00:00:00,182.98,316247
2018-05-24 00:00:00,182.85,291272
2018-05-25 00:00:00,182.89,317818
2018-05-29 00:00:00,181.86,369343
2018-05-30 00:00:00,183.2,367480
2018-05-31 00:00:00,183.01,367628
2018-06-01 00:00:00,186.32,2113719
2018-06-04 00:00:00,187.88,450229
2018-06-05 00:00:00,188.91,626920
2018-06-06 00:00:00,190,517854.99999999994
2018-06-07 00:00:00,187.85,516866.00000000006
2018-06-08 00:00:00,187.88,354891
2018-06-11 00:00:00,187.86,455178
2018-06-12 00:00:00,189.12,295397
2018-06-13 00:00:00,188.75,417106
2018-06-14 00:00:00,189.76,574450
2018-06-15 00:00:00,189.04,352007
2018-06-18 00:00:00,189.32,387707
2018-06-19 00:00:00,188.01,525348
2018-06-20 00:00:00,188.53,401920
2018-06-21 00:00:00,186.86,655747
2018-06-22 00:00:00,185.87,305782
2018-06-25 00:00:00,181.57,933858
2018-06-26 00:00:00,182.53,555750
2018-06-27 00:00:00,179.73,584851
2018-06-28 00:00:00,181.29,790920
2018-06-29 00:00:00,181.4,354516
2018-07-02 00:00:00,183.3,534730
2018-07-03 00:00:00,181.26,330352
2018-07-05 00:00:00,183.64,597241
2018-07-06 00:00:00,185.83,324234
2018-07-09 00:00:00,187.44,343395
2018-07-10 00:00:00,187.82,859863
2018-07-11 00:00:00,186.83,358971
2018-07-12 00:00:00,190,340558
2018-07-13 00:00:00,189.76,320138
2018-07-16 00:00:00,189.1,360575
2018-07-17 00:00:00,190.64,387809
2018-07-18 00:00:00,190.53,300404
2018-07-19 00:00:00,190.33,305349
2018-07-20 00:00:00,190.2,326933
2018-07-23 00:00:00,190.95,348442
2018-07-24 00:00:00,190.66,438643
2018-07-25 00:00:00,193.41,290642
2018-07-26 00:00:00,192.74,471406
2018-07-27 00:00:00,188.99,498841
2018-07-30 00:00:00,185.6,585671
2018-07-31 00:00:00,186.16,540725
2018-08-01 00:00:00,188.3,385684
2018-08-02 00:00:00,191.02,369155
2018-08-03 00:00:00,191.51,357170
2018-08-06 00:00:00,192.64,311075
2018-08-07 00:00:00,193.41,346419
2018-08-08 00:00:00,193.78,427364
2018-08-09 00:00:00,193.96,500808.99999999994
2018-08-10 00:00:00,192.69,368348
2018-08-13 00:00:00,192.33,389872
2018-08-14 00:00:00,193.59,469941
2018-08-15 00:00:00,191.88,441726
2018-08-16 00:00:00,193.06,333725
2018-08-17 00:00:00,193.74,400721
2018-08-20 00:00:00,193.56,438992
2018-08-21 00:00:00,193.98,345111
2018-08-22 00:00:00,194.97,292436
2018-08-23 00:00:00,195.59,325742
2018-08-24 00:00:00,197.83,367455
2018-08-27 00:00:00,199.35,449356
2018-08-28 00:00:00,200.3,338452
2018-08-29 00:00:00,202.22,3916073
2018-08-30 00:00:00,201.73,480183
2018-08-31 00:00:00,202.8,331874
2018-09-04 00:00:00,203.09,510742.99999999994
2018-09-05 00:00:00,199.93,543354
2018-09-06 00:00:00,198.86,510177
2018-09-07 00:00:00,198.25,457264
2018-09-10 00:00:00,198.98,352349
2018-09-11 00:00:00,200.24,513744
2018-09-12 00:00:00,199.85,441324
2018-09-13 00:00:00,202.16,420149
2018-09-14 00:00:00,202.35,372862
2018-09-17 00:00:00,199.29,367743
2018-09-18 00:00:00,200.6,799308
2018-09-19 00:00:00,199.61,507935
