date,volume,price
2018-02-22 00:00:00,112919,157.4
2018-02-23 00:00:00,116001,159.89
2018-02-26 00:00:00,161011,161.84
2018-02-27 00:00:00,105001,160.12
2018-02-28 00:00:00,113310,157.7
2018-03-01 00:00:00,437800,155.27
2018-03-02 00:00:00,239827,157.13
2018-03-05 00:00:00,162121,158.62
2018-03-06 00:00:00,134094,158.74
2018-03-07 00:00:00,104725,159.54
2018-03-08 00:00:00,104725,160.65
2018-03-09 00:00:00,124293,163
2018-03-12 00:00:00,123514,162.65
2018-03-13 00:00:00,213690,162.66
2018-03-14 00:00:00,125231.00000000001,161.87
2018-03-15 00:00:00,165031,161.4
2018-03-16 00:00:00,73883,161.05
2018-03-19 00:00:00,201223,158.52
2018-03-20 00:00:00,106658,158.66
2018-03-21 00:00:00,173133,158.28
2018-03-22 00:00:00,207493,153.8
2018-03-23 00:00:00,235098,150.75
2018-03-26 00:00:00,155828,153.87
2018-03-27 00:00:00,209433,151.73
2018-03-28 00:00:00,129923.00000000001,152.3
2018-03-29 00:00:00,100898,153.53
2018-04-02 00:00:00,251110.99999999997,149.72
2018-04-03 00:00:00,164012,151.78
2018-04-04 00:00:00,188712,154.12
2018-04-05 00:00:00,179872,153.97
2018-04-06 00:00:00,218284,150.21
2018-04-09 00:00:00,120913,151.8
2018-04-10 00:00:00,132442,154.63
2018-04-11 00:00:00,84808,153.56
2018-04-12 00:00:00,126663,154.69
2018-04-13 00:00:00,117904,154.52
2018-04-16 00:00:00,130195,155.55
2018-04-17 00:00:00,125536.00000000001,157.05
2018-04-18 00:00:00,133816,157.23
2018-04-19 00:00:00,103792,155.87
2018-04-20 00:00:00,80077,155.13
2018-04-23 00:00:00,122561,155.52
2018-04-24 00:00:00,125394,154.16
2018-04-25 00:00:00,104041,154.68
2018-04-26 00:00:00,123755,156.61
2018-04-27 00:00:00,94028,157.23
2018-04-30 00:00:00,110256,154.93
2018-05-01 00:00:00,135245,155.09
2018-05-02 00:00:00,128974,153.28
2018-05-03 00:00:00,114533,152.02
2018-05-04 00:00:00,109575,153.28
2018-05-07 00:00:00,82665,153.44
2018-05-08 00:00:00,412412,152.3
2018-05-09 00:00:00,226883,153.37
2018-05-10 00:00:00,108724,155.28
2018-05-11 00:00:00,134552,157.64
2018-05-14 00:00:00,248432,158.62
2018-05-15 00:00:00,264692,156.77
2018-05-16 00:00:00,81877,157.78
2018-05-17 00:00:00,97418,157.87
2018-05-18 00:00:00,104100,158.28
2018-05-21 00:00:00,93680,158.34
2018-05-22 00:00:00,70737,157.89
2018-05-23 00:00:00,92608,158.48
2018-05-24 00:00:00,77087,158.02
2018-05-25 00:00:00,70309,158.02
2018-05-29 00:00:00,121404,156.55
2018-05-30 00:00:00,108652,158.78
2018-05-31 00:00:00,109807,157.31
2018-06-01 00:00:00,84206,159
2018-06-04 00:00:00,164179,159.69
2018-06-05 00:00:00,98370,159.65
2018-06-06 00:00:00,143464,161.35
2018-06-07 00:00:00,112869,161.03
2018-06-08 00:00:00,77930,162.16
2018-06-11 00:00:00,161568,162.35
2018-06-12 00:00:00,129459.99999999999,162.6
2018-06-13 00:00:00,148287,162.6
2018-06-14 00:00:00,147967,163.48
2018-06-15 00:00:00,164330,163.96
2018-06-18 00:00:00,138053,162.53
2018-06-19 00:00:00,148878,163.07
2018-06-20 00:00:00,101842,163.79
2018-06-21 00:00:00,96488,162.64
2018-06-22 00:00:00,74313,163.09
2018-06-25 00:00:00,212389,161.33
2018-06-26 00:00:00,92671,160.97
2018-06-27 00:00:00,126888,159.1
2018-06-28 00:00:00,136317,158.93
2018-06-29 00:00:00,144937,159.14
2018-07-02 00:00:00,184488,159.83
2018-07-03 00:00:00,162958,160.35
2018-07-05 00:00:00,129268,162.02
2018-07-06 00:00:00,178717,164.28
2018-07-09 00:00:00,180063,165.36
2018-07-10 00:00:00,196193,165.89
2018-07-11 00:00:00,108666,164.77
2018-07-12 00:00:00,98327,166.66
2018-07-13 00:00:00,94547,166.89
2018-07-16 00:00:00,123519,165.73
2018-07-17 00:00:00,147420,166.8
2018-07-18 00:00:00,126652.99999999999,166.83
2018-07-19 00:00:00,108486,166.19
2018-07-20 00:00:00,73026,165.79
2018-07-23 00:00:00,68575,166.24
2018-07-24 00:00:00,100846,167.06
2018-07-25 00:00:00,102482,168.89
2018-07-26 00:00:00,131407,168.78
2018-07-27 00:00:00,162440,167.13
2018-07-30 00:00:00,99168,166.85
2018-07-31 00:00:00,190998,168.61
2018-08-01 00:00:00,202207,169
2018-08-02 00:00:00,152495,169.87
2018-08-03 00:00:00,127505,170.53
2018-08-06 00:00:00,282236,170.83
2018-08-07 00:00:00,449909,170.87
2018-08-08 00:00:00,198200,171.08
2018-08-09 00:00:00,99440,170.98
2018-08-10 00:00:00,164861,170.29
2018-08-13 00:00:00,104396,170.29
2018-08-14 00:00:00,122827,171.23
2018-08-15 00:00:00,209234,170.71
2018-08-16 00:00:00,212367,172.29
2018-08-17 00:00:00,174006,172.94
2018-08-20 00:00:00,1567815,173.67
2018-08-21 00:00:00,327042,173.68
2018-08-22 00:00:00,142544,174.17
2018-08-23 00:00:00,130824,173.96
2018-08-24 00:00:00,97906,174.73
2018-08-27 00:00:00,142709,175.63
2018-08-28 00:00:00,153718,175.88
2018-08-29 00:00:00,492735,177.06
2018-08-30 00:00:00,122417,176.97
2018-08-31 00:00:00,181425,177.06
2018-09-04 00:00:00,162191,175.88
2018-09-05 00:00:00,124880,176.09
2018-09-06 00:00:00,105808,175.9
2018-09-07 00:00:00,171226,176.14
2018-09-10 00:00:00,96089,175.56
2018-09-11 00:00:00,417234,175.72
2018-09-12 00:00:00,172498,176.44
2018-09-13 00:00:00,152055,178.25
2018-09-14 00:00:00,205612,177.82
2018-09-17 00:00:00,197021,176.76
2018-09-18 00:00:00,102549,177.83
2018-09-19 00:00:00,164765,177.6
2018-09-20 00:00:00,249594,179.2
2018-09-21 00:00:00,148198,179.14
2018-09-24 00:00:00,203306,179.17
2018-09-25 00:00:00,159327,178.83
2018-09-26 00:00:00,220083,179.03
2018-09-27 00:00:00,150464,179.82
2018-09-28 00:00:00,158297,180.41
2018-10-01 00:00:00,445233,180.89
2018-10-02 00:00:00,239845,180.38
2018-10-03 00:00:00,427453,180.13
2018-10-04 00:00:00,261363.99999999997,177.97
2018-10-05 00:00:00,445253,177.72
2018-10-08 00:00:00,227827,177.25
2018-10-09 00:00:00,185677,177.41
2018-10-10 00:00:00,307192,173.21
2018-10-11 00:00:00,575836,168.8
2018-10-12 00:00:00,442181,171.38
2018-10-15 00:00:00,207972,170.03
2018-10-16 00:00:00,297698,175.32
2018-10-17 00:00:00,396180,176.04
2018-10-18 00:00:00,342013,174
2018-10-19 00:00:00,214867,171.97
2018-10-22 00:00:00,249166,170.68
2018-10-23 00:00:00,305593,169.85
2018-10-24 00:00:00,251607.00000000003,163.81
2018-10-25 00:00:00,294847,166.08
