date,volume,price
2018-02-22 00:00:00,103009,108.39
2018-02-23 00:00:00,173299,111.19
2018-02-26 00:00:00,119012,110.82
2018-02-27 00:00:00,144177,109.02
2018-02-28 00:00:00,128197,108.3
2018-03-01 00:00:00,139461,108.3
2018-03-02 00:00:00,115750,107.97
2018-03-05 00:00:00,138079,110.02
2018-03-06 00:00:00,248099,108.69
2018-03-07 00:00:00,140673,108.06
2018-03-08 00:00:00,83190,108.81
2018-03-09 00:00:00,113497,109.09
2018-03-12 00:00:00,100809,109.65
2018-03-13 00:00:00,123020,109.9
2018-03-14 00:00:00,147602,110.86
2018-03-15 00:00:00,170038,110.88
2018-03-16 00:00:00,158956,111.08
2018-03-19 00:00:00,250452.99999999997,110.44
2018-03-20 00:00:00,145946,109.93
2018-03-21 00:00:00,150121,109.63
2018-03-22 00:00:00,217748,110.04
2018-03-23 00:00:00,199138,108.46
2018-03-26 00:00:00,133707,109.61
2018-03-27 00:00:00,158341,111.16
2018-03-28 00:00:00,168399,111.26
2018-03-29 00:00:00,195512,111.81
2018-04-02 00:00:00,242591,110.84
2018-04-03 00:00:00,160748,111.37
2018-04-04 00:00:00,163878,111.55
2018-04-05 00:00:00,211995,112.45
2018-04-06 00:00:00,87577,111.56
2018-04-09 00:00:00,244855,111.74
2018-04-10 00:00:00,256315.00000000003,111.11
2018-04-11 00:00:00,195958,110.92
2018-04-12 00:00:00,106518,109.62
2018-04-13 00:00:00,76981,110.34
2018-04-16 00:00:00,218003,111.89
2018-04-17 00:00:00,135647,113.01
2018-04-18 00:00:00,111973,112.61
2018-04-19 00:00:00,163663,112.47
2018-04-20 00:00:00,70325,111.59
2018-04-23 00:00:00,111199,111.87
2018-04-24 00:00:00,163726,112.66
2018-04-25 00:00:00,114334,112.63
2018-04-26 00:00:00,94570,113.89
2018-04-27 00:00:00,241682,114.97
2018-04-30 00:00:00,199049,114.57
2018-05-01 00:00:00,112673,114.34
2018-05-02 00:00:00,84453,114.19
2018-05-03 00:00:00,167474,114.38
2018-05-04 00:00:00,128695,114.86
2018-05-07 00:00:00,71579,114.34
2018-05-08 00:00:00,113498,111.66
2018-05-09 00:00:00,114181,111
2018-05-10 00:00:00,371814,112.44
2018-05-11 00:00:00,50585,112.62
2018-05-14 00:00:00,138799,112.19
2018-05-15 00:00:00,109818,111.25
2018-05-16 00:00:00,78096,110.46
2018-05-17 00:00:00,169456,109.57
2018-05-18 00:00:00,100188,109.63
2018-05-21 00:00:00,106228,110.19
2018-05-22 00:00:00,106038,110.64
2018-05-23 00:00:00,106281,111.65
2018-05-24 00:00:00,84141,112.49
2018-05-25 00:00:00,69959,112.97
2018-05-29 00:00:00,220778,113.15
2018-05-30 00:00:00,88894,114.09
2018-05-31 00:00:00,277190,114.21
2018-06-01 00:00:00,72938,112.52
2018-06-04 00:00:00,117855,111.73
2018-06-05 00:00:00,67557,110.94
2018-06-06 00:00:00,263540,108.69
2018-06-07 00:00:00,152913,109.18
2018-06-08 00:00:00,84441,109.2
2018-06-11 00:00:00,111722,108.7
2018-06-12 00:00:00,330930,110.07
2018-06-13 00:00:00,89627,109.74
2018-06-14 00:00:00,148399,111.01
2018-06-15 00:00:00,122735,111.78
2018-06-18 00:00:00,131823,112.28
2018-06-19 00:00:00,141015,113.48
2018-06-20 00:00:00,126482.00000000001,113.47
2018-06-21 00:00:00,116067,113.84
2018-06-22 00:00:00,271684,114.62
2018-06-25 00:00:00,235718,116.29
2018-06-26 00:00:00,139782,116.28
2018-06-27 00:00:00,104476,116.94
2018-06-28 00:00:00,107579,115.89
2018-06-29 00:00:00,140804,115.96
2018-07-02 00:00:00,152633,116.84
2018-07-03 00:00:00,338088,117.14
2018-07-05 00:00:00,177141,117.87
2018-07-06 00:00:00,123687,118.84
2018-07-09 00:00:00,248530,115.2
2018-07-10 00:00:00,443230,116.24
2018-07-11 00:00:00,103057,117.18
2018-07-12 00:00:00,101581,117.27
2018-07-13 00:00:00,182285,117.31
2018-07-16 00:00:00,94213,117.12
2018-07-17 00:00:00,66931,117.04
2018-07-18 00:00:00,114488,116.47
2018-07-19 00:00:00,64032.00000000001,117.63
2018-07-20 00:00:00,82681,116.78
2018-07-23 00:00:00,67723,116.02
2018-07-24 00:00:00,93636,116.34
2018-07-25 00:00:00,100111,116.54
2018-07-26 00:00:00,162663,117.84
2018-07-27 00:00:00,72703,117.34
2018-07-30 00:00:00,65037,116.64
2018-07-31 00:00:00,91112,117.9
2018-08-01 00:00:00,64676,116.91
2018-08-02 00:00:00,172593,117.65
2018-08-03 00:00:00,135650,118.7
2018-08-06 00:00:00,97626,118.9
2018-08-07 00:00:00,186395,118.72
2018-08-08 00:00:00,87341,118.2
2018-08-09 00:00:00,68410,118.82
2018-08-10 00:00:00,91679,118.27
2018-08-13 00:00:00,70751,118.42
2018-08-14 00:00:00,88947,118.79
2018-08-15 00:00:00,681139,119.6
2018-08-16 00:00:00,141530,120.97
2018-08-17 00:00:00,165431,121.53
2018-08-20 00:00:00,125415,121.18
2018-08-21 00:00:00,101637,120.37
2018-08-22 00:00:00,85845,119.51
2018-08-23 00:00:00,173246,119.38
2018-08-24 00:00:00,190376,119.93
2018-08-27 00:00:00,339273,119.0942
2018-08-28 00:00:00,68045,118.82
2018-08-29 00:00:00,110909,119.67
2018-08-30 00:00:00,88917,119.78
2018-08-31 00:00:00,84485,119.26
2018-09-04 00:00:00,75053,119.82
2018-09-05 00:00:00,78435,121.31
2018-09-06 00:00:00,92746,121.98
2018-09-07 00:00:00,82166,120.58
2018-09-10 00:00:00,175793,121.18
2018-09-11 00:00:00,81805,120.94
2018-09-12 00:00:00,110400,120.86
2018-09-13 00:00:00,58905,121.83
2018-09-14 00:00:00,210147,121.26
2018-09-17 00:00:00,96190,121.55
2018-09-18 00:00:00,83380,121.42
2018-09-19 00:00:00,136767,118.76
2018-09-20 00:00:00,113056,119.1
2018-09-21 00:00:00,179833,119.56
2018-09-24 00:00:00,116391,117.64
2018-09-25 00:00:00,196292,116.3
2018-09-26 00:00:00,196660,115.13
2018-09-27 00:00:00,141781,116.26
2018-09-28 00:00:00,253554.99999999997,117.87
2018-10-01 00:00:00,182726,117.5
2018-10-02 00:00:00,98249,118.88
2018-10-03 00:00:00,131549,117.54
2018-10-04 00:00:00,111967,118.08
2018-10-05 00:00:00,182364,119.81
2018-10-08 00:00:00,288878,120.84
2018-10-09 00:00:00,131893,121.31
