date,volume,price
2018-02-22 00:00:00,10979390,66.89
2018-02-23 00:00:00,10386170,68.29
2018-02-26 00:00:00,10797190,69.36
2018-02-27 00:00:00,12790590,68.66
2018-02-28 00:00:00,15232050,68.17
2018-03-01 00:00:00,21486820,67.04
2018-03-02 00:00:00,19196110,67.68
2018-03-05 00:00:00,10888930,68.37
2018-03-06 00:00:00,10151940,68.52
2018-03-07 00:00:00,11109750,68.9
2018-03-08 00:00:00,7623964,69.2
2018-03-09 00:00:00,12342540,70.51
2018-03-12 00:00:00,13506250,70.73
2018-03-13 00:00:00,13809420,69.92
2018-03-14 00:00:00,13881450,69.86
2018-03-15 00:00:00,11501440,69.9
2018-03-16 00:00:00,12202270,69.61
2018-03-19 00:00:00,19868390,68.23
2018-03-20 00:00:00,9382796,68.2
2018-03-21 00:00:00,10933470,67.79
2018-03-22 00:00:00,21195060,66.04
2018-03-23 00:00:00,20950790,64.28
2018-03-26 00:00:00,25125800,66.72
2018-03-27 00:00:00,29748560,64.58
2018-03-28 00:00:00,26810990,64.15
2018-03-29 00:00:00,17933800,65.42
2018-04-02 00:00:00,26017140,63.86
2018-04-03 00:00:00,18050720,64.49
2018-04-04 00:00:00,18149230,65.39
2018-04-05 00:00:00,16369080,65.66
2018-04-06 00:00:00,20238900,64.05
2018-04-09 00:00:00,10929670,64.55
2018-04-10 00:00:00,16116760,66.14
2018-04-11 00:00:00,8657765,65.75
2018-04-12 00:00:00,10628030,66.54
2018-04-13 00:00:00,11210770,66.32
2018-04-16 00:00:00,9738678,66.83
2018-04-17 00:00:00,15222770,68.07
2018-04-18 00:00:00,9882220,67.89
2018-04-19 00:00:00,12905820,67.14
2018-04-20 00:00:00,16238480,66.21
2018-04-23 00:00:00,18960250,65.97
2018-04-24 00:00:00,17423810,64.82
2018-04-25 00:00:00,15290800,64.83
2018-04-26 00:00:00,16543440,66.01
2018-04-27 00:00:00,13156480,65.89
2018-04-30 00:00:00,8686115,65.46
2018-05-01 00:00:00,9273887,66.28
2018-05-02 00:00:00,13293730,66.21
2018-05-03 00:00:00,15545420,66.36
2018-05-04 00:00:00,10841290,67.62
2018-05-07 00:00:00,13457410,68.09
2018-05-08 00:00:00,15147430,68.24
2018-05-09 00:00:00,14413340,69.08
2018-05-10 00:00:00,11566270,69.98
2018-05-11 00:00:00,8760648,69.88
2018-05-14 00:00:00,10130920,69.87
2018-05-15 00:00:00,14262590,69.21
2018-05-16 00:00:00,6680485,69.52
2018-05-17 00:00:00,10800140,69.16
2018-05-18 00:00:00,7882919,68.87
2018-05-21 00:00:00,11289240,69.47
2018-05-22 00:00:00,7391047,69.37
2018-05-23 00:00:00,14693760,69.88
2018-05-24 00:00:00,11200660,69.8
2018-05-25 00:00:00,9391355,69.75
2018-05-29 00:00:00,29330390,69.37
2018-05-30 00:00:00,9965160,69.88
2018-05-31 00:00:00,15284030,69.9
2018-06-01 00:00:00,12722890,71.09
2018-06-04 00:00:00,9933038,71.66
2018-06-05 00:00:00,17274760,71.91
2018-06-06 00:00:00,17689540,72.38
2018-06-07 00:00:00,19523630,71.8
2018-06-08 00:00:00,9904779,71.68
2018-06-11 00:00:00,7323505,71.76
2018-06-12 00:00:00,7813398,72.11
2018-06-13 00:00:00,14639030,71.74
2018-06-14 00:00:00,11327430,72.25
2018-06-15 00:00:00,16820620,71.72
2018-06-18 00:00:00,8290200,71.8
2018-06-19 00:00:00,12956680,71.43
2018-06-20 00:00:00,11465610,71.58
2018-06-21 00:00:00,14817110,71.03
2018-06-22 00:00:00,15739990,70.8
2018-06-25 00:00:00,18027740,69.33
2018-06-26 00:00:00,13862840,69.61
2018-06-27 00:00:00,22054600,68.66
2018-06-28 00:00:00,17799050,69.5
2018-06-29 00:00:00,10009810,69.47
2018-07-02 00:00:00,12545910,70.09
2018-07-03 00:00:00,6361411,69.26
2018-07-05 00:00:00,13660000,70.24
2018-07-06 00:00:00,12802010,71.06
2018-07-09 00:00:00,8727604,71.6
2018-07-10 00:00:00,11493130,71.77
2018-07-11 00:00:00,12975070,71.49
2018-07-12 00:00:00,11853330,72.62
2018-07-13 00:00:00,9258443,72.54
2018-07-16 00:00:00,6665953,72.37
2018-07-17 00:00:00,7451575,72.91
2018-07-18 00:00:00,7081957,72.79
2018-07-19 00:00:00,7455318,72.53
2018-07-20 00:00:00,7219886,72.55
2018-07-23 00:00:00,12575510,72.92
2018-07-24 00:00:00,10778640,73.32
2018-07-25 00:00:00,15288810,74.24
2018-07-26 00:00:00,12547190,73.1
2018-07-27 00:00:00,31777540,71.85
2018-07-30 00:00:00,17847710,70.73
2018-07-31 00:00:00,14977010,70.92
2018-08-01 00:00:00,14661400,71.56
2018-08-02 00:00:00,13104920,72.46
2018-08-03 00:00:00,7245702,72.72
2018-08-06 00:00:00,7500345,73.11
2018-08-07 00:00:00,10272740,73.39
2018-08-08 00:00:00,7099160,73.59
2018-08-09 00:00:00,11723240,73.62
2018-08-10 00:00:00,11569160,73.03
2018-08-13 00:00:00,12064770,72.93
2018-08-14 00:00:00,9179535,73.38
2018-08-15 00:00:00,17792230,72.72
2018-08-16 00:00:00,9104839,73.04
2018-08-17 00:00:00,9024155,73.15
2018-08-20 00:00:00,10619830,73.04
2018-08-21 00:00:00,8002432.000000001,73.16
2018-08-22 00:00:00,6371245,73.38
2018-08-23 00:00:00,9367818,73.54
2018-08-24 00:00:00,6557635,74.28
2018-08-27 00:00:00,8207454.999999999,74.96
2018-08-28 00:00:00,7385363,75.09
2018-08-29 00:00:00,11182350,75.77
2018-08-30 00:00:00,10520310,75.54
2018-08-31 00:00:00,10269170,75.6
2018-09-04 00:00:00,11073920,75.31
2018-09-05 00:00:00,16426549.999999998,74.37
2018-09-06 00:00:00,13978780,73.83
2018-09-07 00:00:00,14230960,73.58
2018-09-10 00:00:00,16654879.999999998,73.81
2018-09-11 00:00:00,13595010,74.44
2018-09-12 00:00:00,16268230,74.13
2018-09-13 00:00:00,12727440,75
2018-09-14 00:00:00,9439156,74.94
2018-09-17 00:00:00,14792110,74
2018-09-18 00:00:00,9650997,74.47
2018-09-19 00:00:00,10435470,74.28
2018-09-20 00:00:00,13701000,75.16
2018-09-21 00:00:00,23020550,74.61
2018-09-24 00:00:00,17256800,74.98
2018-09-25 00:00:00,10550530,74.89
2018-09-26 00:00:00,13320560,74.61
2018-09-27 00:00:00,14233200,75.05
2018-09-28 00:00:00,11710570,75.33
2018-10-01 00:00:00,10334070,75.69
2018-10-02 00:00:00,14006960,75.7
2018-10-03 00:00:00,13292560,75.93
2018-10-04 00:00:00,23292420,74.56
2018-10-05 00:00:00,22288720,73.62
2018-10-08 00:00:00,19973000,72.79
2018-10-09 00:00:00,15138930,73.05
2018-10-10 00:00:00,44142990,69.51
2018-10-11 00:00:00,68269510,68.63
2018-10-12 00:00:00,35909370,70.83
2018-10-15 00:00:00,19152750,69.67
2018-10-16 00:00:00,20999280,71.77
2018-10-17 00:00:00,24164920,71.44
2018-10-18 00:00:00,22960570,70.04
2018-10-19 00:00:00,22141740,70.01
2018-10-22 00:00:00,15981010,70.59
2018-10-23 00:00:00,24066080,70.32
2018-10-24 00:00:00,34165360,67.17
2018-10-25 00:00:00,23377180,69.48
2018-10-26 00:00:00,42743590,68.09
2018-10-29 00:00:00,34055310,66.94
2018-10-30 00:00:00,30560930,67.69
2018-10-31 00:00:00,21144140,69.3
2018-11-01 00:00:00,15553100,70.11
2018-11-02 00:00:00,20213140,68.74
2018-11-05 00:00:00,14208230,68.67
2018-11-06 00:00:00,9134209,69.1
2018-11-07 00:00:00,16314800.000000002,71.13
2018-11-08 00:00:00,10409750,71.07
2018-11-09 00:00:00,12941930,69.84
2018-11-12 00:00:00,16431059.999999998,67.38
2018-11-13 00:00:00,15703540,67.46
2018-11-14 00:00:00,19496740,66.65
2018-11-15 00:00:00,26301450,68.32
2018-11-16 00:00:00,17973020,68.21
2018-11-19 00:00:00,19198620,65.61
2018-11-20 00:00:00,28064760,64.2
2018-11-21 00:00:00,16503280,64.67
2018-11-23 00:00:00,5338114,64.08
2018-11-26 00:00:00,12534630,65.53
2018-11-27 00:00:00,11538210,65.66
2018-11-28 00:00:00,16609710,67.96
2018-11-29 00:00:00,14115420,67.3
2018-11-30 00:00:00,16509840,67.94
2018-12-03 00:00:00,16231660.000000002,69.44
2018-12-04 00:00:00,20991080,66.81
2018-12-06 00:00:00,21578010,66.96
2018-12-07 00:00:00,19937810,64.6
2018-12-10 00:00:00,20447970,65.49
2018-12-11 00:00:00,15813350,65.57
2018-12-12 00:00:00,16928910,66.08
2018-12-13 00:00:00,12819550,66.19
2018-12-14 00:00:00,15516210,64.57
2018-12-17 00:00:00,23263470,63.2
2018-12-18 00:00:00,19626570,63.7
2018-12-19 00:00:00,33606340,62.44
2018-12-20 00:00:00,39501830,61.32
2018-12-21 00:00:00,41613700,59.2
2018-12-24 00:00:00,21117020,57.62
2018-12-26 00:00:00,29060160,61.1
2018-12-27 00:00:00,23438840,61.54
2018-12-28 00:00:00,19843320,61.4
2018-12-31 00:00:00,16860070,61.98
2019-01-02 00:00:00,15442920,62.02
2019-01-03 00:00:00,24946730,58.89
2019-01-04 00:00:00,20767980,61.5
2019-01-07 00:00:00,11908940,62.05
2019-01-08 00:00:00,13002600,62.57
2019-01-09 00:00:00,14022390,63.38
2019-01-10 00:00:00,10934090,63.66
