date,volume,price
2022-01-19 00:00:00,129922.00000000001,42
2022-01-20 00:00:00,153414,45
2022-01-21 00:00:00,329486,45
2022-01-24 00:00:00,110004,42.8
2022-01-25 00:00:00,23472,41.8975
2022-01-26 00:00:00,90760,43.22
2022-01-27 00:00:00,151618,45.76
2022-01-28 00:00:00,43609,46.75
2022-01-31 00:00:00,71314,48
2022-02-01 00:00:00,298808,49.78
2022-02-02 00:00:00,23860900,53.01
2022-02-03 00:00:00,8425481,53.62
2022-02-04 00:00:00,6757988,50.14
2022-02-07 00:00:00,9432628,46.07
2022-02-08 00:00:00,7277450,45.5
2022-02-09 00:00:00,4393344,47.31
2022-02-10 00:00:00,2449951,47.05
2022-02-11 00:00:00,3456845,48.09
2022-02-14 00:00:00,2155058,48.11
2022-02-15 00:00:00,2359830,48
2022-02-16 00:00:00,5855330,47.2
2022-02-17 00:00:00,3142569,45.29
2022-02-18 00:00:00,2018663,45.41
2022-02-22 00:00:00,2611185,43.54
2022-02-23 00:00:00,2791223,43.09
2022-02-24 00:00:00,2447912,44.32
2022-02-25 00:00:00,2040943,43.91
2022-02-28 00:00:00,5534951,45.98
2022-03-01 00:00:00,4212869,47.79
2022-03-02 00:00:00,3517056,49.46
2022-03-03 00:00:00,2072388.9999999998,49.52
2022-03-04 00:00:00,2544707,51
2022-03-07 00:00:00,2727118,51.65
2022-03-08 00:00:00,3873722,52.32
2022-03-09 00:00:00,3050627,51.33
2022-03-10 00:00:00,2692839,51.32
2022-03-11 00:00:00,3034078,49.32
2022-03-14 00:00:00,2916589,50.95
2022-03-15 00:00:00,2117498,51.29
2022-03-16 00:00:00,2989796,51.77
2022-03-17 00:00:00,2244591,50.99
2022-03-18 00:00:00,9663926,49.01
2022-03-21 00:00:00,2451957,49.22
2022-03-22 00:00:00,3841909,51.14
2022-03-23 00:00:00,2396297,50.99
2022-03-24 00:00:00,2335188,52.41
2022-03-25 00:00:00,2441194,53.8
2022-03-28 00:00:00,3127207,56.78
2022-03-29 00:00:00,2201291,56.33
