date,volume,price
2018-01-02 00:00:00,9696292,143.84
2018-01-03 00:00:00,10184036,145.2
2018-01-04 00:00:00,10319312,148.24
2018-01-05 00:00:00,9984956,148.32
2018-01-08 00:00:00,10262198,146.24
2018-01-09 00:00:00,8300030,148.48
2018-01-10 00:00:00,10290277,151.432
2018-01-11 00:00:00,12465701,152.16
2018-01-12 00:00:00,10884588,150.08
2018-01-16 00:00:00,25707125,145.68
2018-01-17 00:00:00,23442150,138.8
2018-01-18 00:00:00,21532925,134.16
2018-01-19 00:00:00,26868400,130.08
2018-01-22 00:00:00,16776537.000000002,129.36
2018-01-23 00:00:00,15404562,135.12
2018-01-24 00:00:00,20877212,131.52
2018-01-25 00:00:00,11882133,129.44
2018-01-26 00:00:00,11361076,129.04
2018-01-29 00:00:00,9266815,130.24
2018-01-30 00:00:00,8531773,127.6
2018-01-31 00:00:00,9596153,129.36
2018-02-01 00:00:00,6602995,128.16
2018-02-02 00:00:00,10286851,125.12
2018-02-05 00:00:00,15405200,119.28
2018-02-06 00:00:00,15852487,122.16
2018-02-07 00:00:00,9500902,122
2018-02-08 00:00:00,17329512,115.6
2018-02-09 00:00:00,16131975,119.52
2018-02-12 00:00:00,9447802,118.56
2018-02-13 00:00:00,9212536,117.36
2018-02-14 00:00:00,10739006,119.2
2018-02-15 00:00:00,6860627,118.8
2018-02-16 00:00:00,8090593,120.4
2018-02-20 00:00:00,7708208,117.92
2018-02-21 00:00:00,12263935,115.92
2018-02-22 00:00:00,9812153,116.96
2018-02-23 00:00:00,6614073,115.92
2018-02-26 00:00:00,18152575,117.2
2018-02-27 00:00:00,11628003,116
2018-02-28 00:00:00,11076760,112.88
2018-03-01 00:00:00,11484458,112.16
2018-03-02 00:00:00,9328697,112.96
2018-03-05 00:00:00,10931190,115.36
2018-03-06 00:00:00,7263358,117.12
2018-03-07 00:00:00,10374898,116.08
2018-03-08 00:00:00,6199397,116.16
2018-03-09 00:00:00,8019522,119.52
2018-03-12 00:00:00,8778330,120.8
2018-03-13 00:00:00,14839800,115.44
2018-03-14 00:00:00,7133358,114.16
2018-03-15 00:00:00,5928112,114.88
2018-03-16 00:00:00,14311125,114.48
2018-03-19 00:00:00,8273025.000000001,112.56
2018-03-20 00:00:00,11115186,109.12
2018-03-21 00:00:00,8142823,111.04
2018-03-22 00:00:00,8903447,106.8
2018-03-23 00:00:00,10505286,104.56
2018-03-26 00:00:00,13179462,103.12
2018-03-27 00:00:00,19371075,107.52
2018-03-28 00:00:00,17388087,109.44
2018-03-29 00:00:00,9314288,107.84
2018-04-02 00:00:00,9010870,104.96
2018-04-03 00:00:00,7473142,105.04
2018-04-04 00:00:00,7146552,106.24
2018-04-05 00:00:00,6690777,107.44
2018-04-06 00:00:00,7933233,104.48
2018-04-09 00:00:00,8541580,102.64
2018-04-10 00:00:00,7207098,104.4
2018-04-11 00:00:00,6277503,103.76
2018-04-12 00:00:00,7953903,105.44
2018-04-13 00:00:00,8896061,107.92
2018-04-16 00:00:00,7284878,106.64
2018-04-17 00:00:00,9016132,110.32
2018-04-18 00:00:00,5372942,109.28
2018-04-19 00:00:00,10972782,111.92
2018-04-20 00:00:00,23585750,116.32
