date,volume,price
2018-01-02 00:00:00,2996297,27.76
2018-01-03 00:00:00,5596957,27.98
2018-01-04 00:00:00,6599189,29.32
2018-01-05 00:00:00,3700696,29.61
2018-01-08 00:00:00,4185923,29.76
2018-01-09 00:00:00,2393516,29.81
2018-01-10 00:00:00,2073434.0000000002,29.79
2018-01-11 00:00:00,3113340,30.4
2018-01-12 00:00:00,3440987,30.84
2018-01-16 00:00:00,4977510,30.41
2018-01-17 00:00:00,3226006,30.54
2018-01-18 00:00:00,3307378,30.35
2018-01-19 00:00:00,4542170,30.22
2018-01-22 00:00:00,3581297,30.43
2018-01-23 00:00:00,2262464,30.3
2018-01-24 00:00:00,2536214,30.48
2018-01-25 00:00:00,1980633,30.47
2018-01-26 00:00:00,2288049,30.84
2018-01-29 00:00:00,2462723,30.26
2018-01-30 00:00:00,4431343,29.92
2018-01-31 00:00:00,3403246,30.06
2018-02-01 00:00:00,2808421,30.11
2018-02-02 00:00:00,7621840,29.11
2018-02-05 00:00:00,10925990,26.52
2018-02-06 00:00:00,10017500,25.28
2018-02-07 00:00:00,5549170,25.1
2018-02-08 00:00:00,7449056,24.45
2018-02-09 00:00:00,8213509,24.66
2018-02-12 00:00:00,4938440,24.84
2018-02-13 00:00:00,5422667,24.78
2018-02-14 00:00:00,4540985,25.48
2018-02-15 00:00:00,4514646,25.22
2018-02-16 00:00:00,5483054,25.36
2018-02-20 00:00:00,3331675,24.86
2018-02-21 00:00:00,2659895,24.66
2018-02-22 00:00:00,2544708,24.54
2018-02-23 00:00:00,3678909,25.13
2018-02-26 00:00:00,2522601,25.13
2018-02-27 00:00:00,2755300,24.74
2018-02-28 00:00:00,5266873,24.39
2018-03-01 00:00:00,3461488,24.02
2018-03-02 00:00:00,2803108,23.91
2018-03-05 00:00:00,3767970,24.33
2018-03-06 00:00:00,3446351,24.55
2018-03-07 00:00:00,1969543,24.62
2018-03-08 00:00:00,2275342,24.8
2018-03-09 00:00:00,2334194,25.19
2018-03-12 00:00:00,3162104,24.93
2018-03-13 00:00:00,3431884,24.95
2018-03-14 00:00:00,5138583,24.06
2018-03-15 00:00:00,3874591,24.24
2018-03-16 00:00:00,5330581,24.56
2018-03-19 00:00:00,3535977,24.03
2018-03-20 00:00:00,4765984,24.09
2018-03-21 00:00:00,2110891,24.16
2018-03-22 00:00:00,4580813,22.68
2018-03-23 00:00:00,4256688,22.75
2018-03-26 00:00:00,3052516,23.38
2018-03-27 00:00:00,3529277,23.05
2018-03-28 00:00:00,2236778,22.7
2018-03-29 00:00:00,2449165,23.04
2018-04-02 00:00:00,4564268,22.08
2018-04-03 00:00:00,5259292,22.35
2018-04-04 00:00:00,2689969,22.63
2018-04-05 00:00:00,3333610,23.08
2018-04-06 00:00:00,3439316,22.54
2018-04-09 00:00:00,3407621,22.77
2018-04-10 00:00:00,2498556,23.03
2018-04-11 00:00:00,1536445,22.96
2018-04-12 00:00:00,2203798,23.48
2018-04-13 00:00:00,2287713,23.23
2018-04-16 00:00:00,1650408,23.56
2018-04-17 00:00:00,1732293,23.75
2018-04-18 00:00:00,2726840,23.68
2018-04-19 00:00:00,3577538,23.53
2018-04-20 00:00:00,2741985,23.26
2018-04-23 00:00:00,6127076,22.05
2018-04-24 00:00:00,6176569,21.98
2018-04-25 00:00:00,3365572,22.15
2018-04-26 00:00:00,4816213,22.24
2018-04-27 00:00:00,4616391,22.44
2018-04-30 00:00:00,27056600,17.81
2018-05-01 00:00:00,14794710,17.68
2018-05-02 00:00:00,11512620,17.37
2018-05-03 00:00:00,8645829,16.93
2018-05-04 00:00:00,5732210,17.22
2018-05-07 00:00:00,5404820,17.56
2018-05-08 00:00:00,5417900,17.8
2018-05-09 00:00:00,5437027,18.02
2018-05-10 00:00:00,6564155,18.14
2018-05-11 00:00:00,5656525,18.22
2018-05-14 00:00:00,3005834,18.32
2018-05-15 00:00:00,4901700,17.98
2018-05-16 00:00:00,3197812,18.01
2018-05-17 00:00:00,3024887,18.15
2018-05-18 00:00:00,2899311,18.08
2018-05-21 00:00:00,3590112,18.44
2018-05-22 00:00:00,3396003,18.57
2018-05-23 00:00:00,4428183,18.64
2018-05-24 00:00:00,3469377,18.48
2018-05-25 00:00:00,2776765,18.43
2018-05-29 00:00:00,3486422,17.93
2018-05-30 00:00:00,3936028,18.12
2018-05-31 00:00:00,5038796,17.65
2018-06-01 00:00:00,4847955,17.75
2018-06-04 00:00:00,2824478,17.74
2018-06-05 00:00:00,4142417,17.72
2018-06-06 00:00:00,3275436,17.93
2018-06-07 00:00:00,2922064,17.95
2018-06-08 00:00:00,3176767,17.94
2018-06-11 00:00:00,4452130,18.16
2018-06-12 00:00:00,3419040,18
2018-06-13 00:00:00,4944187,17.97
