date,volume,price
2018-01-02 00:00:00,1307745,37.61
2018-01-03 00:00:00,1869682,37.1
2018-01-04 00:00:00,1827775,36.92
2018-01-05 00:00:00,1893193,36.8
2018-01-08 00:00:00,1442609,37.04
2018-01-09 00:00:00,1122468,36.83
2018-01-10 00:00:00,1358748,36.55
2018-01-11 00:00:00,1949188,36.58
2018-01-12 00:00:00,1665066,36.22
2018-01-16 00:00:00,1346442,36.23
2018-01-17 00:00:00,1882117,36.33
2018-01-18 00:00:00,2975521,35.3
2018-01-19 00:00:00,1750060,35.49
2018-01-22 00:00:00,1891494,35.81
2018-01-23 00:00:00,1691409,36.35
2018-01-24 00:00:00,1685724,35.77
2018-01-25 00:00:00,1015922,35.82
2018-01-26 00:00:00,1788804,35.76
2018-01-29 00:00:00,3653462,34.08
2018-01-30 00:00:00,2807624,33.93
2018-01-31 00:00:00,3380098,35.03
2018-02-01 00:00:00,2055292.9999999998,34.62
2018-02-02 00:00:00,2364154,33.66
2018-02-05 00:00:00,2002691,32.73
2018-02-06 00:00:00,3135102,33.11
2018-02-07 00:00:00,2566697,33.18
2018-02-08 00:00:00,2103886,32.07
2018-02-09 00:00:00,2364996,33.1
2018-02-12 00:00:00,2607790,33.3
2018-02-13 00:00:00,1686941,33.54
2018-02-14 00:00:00,1441187,33.19
2018-02-15 00:00:00,2561465,33.72
2018-02-16 00:00:00,3047887,33.17
2018-02-20 00:00:00,3840287,32.12
2018-02-21 00:00:00,2912704,31.47
2018-02-22 00:00:00,2293399,31.58
2018-02-23 00:00:00,1550599,31.96
2018-02-26 00:00:00,1854076,31.95
2018-02-27 00:00:00,2316612,31.05
2018-02-28 00:00:00,2543280,31.46
2018-03-01 00:00:00,2161630,31.63
2018-03-02 00:00:00,2046803.9999999998,31.55
2018-03-05 00:00:00,1724595,32.1
2018-03-06 00:00:00,1310676,32.39
2018-03-07 00:00:00,2005004,32.71
2018-03-08 00:00:00,1612400,32.71
2018-03-09 00:00:00,2629355,33.25
2018-03-12 00:00:00,2106293,33.01
2018-03-13 00:00:00,1623097,33.22
2018-03-14 00:00:00,1999089,32.98
2018-03-15 00:00:00,1758059,32.89
2018-03-16 00:00:00,5377863,32.52
2018-03-19 00:00:00,1926759,31.46
2018-03-20 00:00:00,1367853,31.73
