date,volume,price
2018-01-02 00:00:00,6522623,28.9
2018-01-03 00:00:00,7780672,28.88
2018-01-04 00:00:00,4346693,28.55
2018-01-05 00:00:00,4539174,28.73
2018-01-08 00:00:00,12297800,29.17
2018-01-09 00:00:00,3402511,28.72
2018-01-10 00:00:00,3241134,28.24
2018-01-11 00:00:00,6183606,28.61
2018-01-12 00:00:00,4825484,28.7
2018-01-16 00:00:00,4521264,27.9
2018-01-17 00:00:00,6914228,27.43
2018-01-18 00:00:00,10096110,26.81
2018-01-19 00:00:00,8705985,26.9
2018-01-22 00:00:00,10257890,26.92
2018-01-23 00:00:00,3161530,27.14
2018-01-24 00:00:00,4660043,27.25
2018-01-25 00:00:00,4606324,27.65
2018-01-26 00:00:00,5813987,27.4
2018-01-29 00:00:00,4122769,26.86
2018-01-30 00:00:00,7600091,26.09
2018-01-31 00:00:00,5764801,26.01
2018-02-01 00:00:00,5319115,26.43
2018-02-02 00:00:00,4394222,26.19
2018-02-05 00:00:00,7126706,25.16
2018-02-06 00:00:00,8603135,25.51
2018-02-07 00:00:00,12115750,25.36
2018-02-08 00:00:00,8448459,24
2018-02-09 00:00:00,8992343,24.59
2018-02-12 00:00:00,8545296,24.72
2018-02-13 00:00:00,4256732,24.61
2018-02-14 00:00:00,4243852,24.8
2018-02-15 00:00:00,3629551,25.26
2018-02-16 00:00:00,2938988,25.22
2018-02-20 00:00:00,5603907,25.69
2018-02-21 00:00:00,4785135,25
2018-02-22 00:00:00,3206756,25.26
2018-02-23 00:00:00,7695309,26.42
2018-02-26 00:00:00,3706539,26.29
2018-02-27 00:00:00,6401446,25.99
2018-02-28 00:00:00,5007718,25.86
2018-03-01 00:00:00,7636501,26.92
2018-03-02 00:00:00,5427399,27.89
2018-03-05 00:00:00,7935436,28.95
2018-03-06 00:00:00,6318375,29.21
2018-03-07 00:00:00,6168969,29.38
2018-03-08 00:00:00,6822493,29.6
2018-03-09 00:00:00,7617112,29.75
2018-03-12 00:00:00,6867657,29.89
2018-03-13 00:00:00,4602703,30
2018-03-14 00:00:00,5060169,30.2
2018-03-15 00:00:00,6782028,30.77
2018-03-16 00:00:00,6816490,30.3
2018-03-19 00:00:00,5618586,30.17
2018-03-20 00:00:00,3498456,30.3
2018-03-21 00:00:00,4293236,30.19
2018-03-22 00:00:00,5722682,30.3
2018-03-23 00:00:00,5135114,29.79
2018-03-26 00:00:00,4510244,30.37
2018-03-27 00:00:00,8099318,30
2018-03-28 00:00:00,6223046,30.27
2018-03-29 00:00:00,4356645,30.53
2018-04-02 00:00:00,6324361,30.34
2018-04-03 00:00:00,4499684,30.47
2018-04-04 00:00:00,4905910,30.4
2018-04-05 00:00:00,4198637,30.31
2018-04-06 00:00:00,5531075,29.96
2018-04-09 00:00:00,5067804,30.53
2018-04-10 00:00:00,3734889,30.56
2018-04-11 00:00:00,3198278,30.64
2018-04-12 00:00:00,5539642,30.02
2018-04-13 00:00:00,3776141,30.13
2018-04-16 00:00:00,4989708,30.72
2018-04-17 00:00:00,5779292,31.25
2018-04-18 00:00:00,4056797.9999999995,31.38
2018-04-19 00:00:00,4359804,31.49
2018-04-20 00:00:00,2824183,31.17
2018-04-23 00:00:00,2842122,31.21
2018-04-24 00:00:00,4184716,30.99
2018-04-25 00:00:00,3098260,31.09
2018-04-26 00:00:00,3542555,31.34
2018-04-27 00:00:00,3110077,31.51
2018-04-30 00:00:00,5178322,31
2018-05-01 00:00:00,4959698,30.65
2018-05-02 00:00:00,5846288,30.48
2018-05-03 00:00:00,16097740.000000002,32.35
2018-05-04 00:00:00,9657581,33.3
2018-05-07 00:00:00,6825459,34.16
2018-05-08 00:00:00,7494534,33.9
2018-05-09 00:00:00,6262394,34.23
2018-05-10 00:00:00,5916039,34.66
2018-05-11 00:00:00,4338589,34.91
2018-05-14 00:00:00,4079176.9999999995,34.78
2018-05-15 00:00:00,5588077,33.75
2018-05-16 00:00:00,4584799,33.75
2018-05-17 00:00:00,3485942,33.55
2018-05-18 00:00:00,2493305,33.71
2018-05-21 00:00:00,5111604,33.5
2018-05-22 00:00:00,10724230,33.45
2018-05-23 00:00:00,5345013,33.15
2018-05-24 00:00:00,7094781,34.43
2018-05-25 00:00:00,4896309,33.98
2018-05-29 00:00:00,4308633,33.72
2018-05-30 00:00:00,5040838,34.41
2018-05-31 00:00:00,3900399,34.23
2018-06-01 00:00:00,3552385,33.91
2018-06-04 00:00:00,5117789,33.85
2018-06-05 00:00:00,4586402,33.65
2018-06-06 00:00:00,4097860,33.94
2018-06-07 00:00:00,4355088,33.5
2018-06-08 00:00:00,5622290,33.15
2018-06-11 00:00:00,6026645,32.66
2018-06-12 00:00:00,6485688,33.51
2018-06-13 00:00:00,5840229,33.98
2018-06-14 00:00:00,4382960,33.51
2018-06-15 00:00:00,5280072,33.38
2018-06-18 00:00:00,5494844,32.98
2018-06-19 00:00:00,10248270,31.96
2018-06-20 00:00:00,5970667,31.85
2018-06-21 00:00:00,4974060,31.88
2018-06-22 00:00:00,7349225,31.02
2018-06-25 00:00:00,7500049,31.06
2018-06-26 00:00:00,7610689,31.33
2018-06-27 00:00:00,5245174,30.93
2018-06-28 00:00:00,4995750,30.71
2018-06-29 00:00:00,5336725,30.7
2018-07-02 00:00:00,4387322,30.97
2018-07-03 00:00:00,2385720,30.58
2018-07-05 00:00:00,5436402,30.73
2018-07-06 00:00:00,3124031,31.13
2018-07-09 00:00:00,4595807,30.57
2018-07-10 00:00:00,4322818,30.97
2018-07-11 00:00:00,3329147,30.67
2018-07-12 00:00:00,4599894,31.48
2018-07-13 00:00:00,2924630,31.57
2018-07-16 00:00:00,4147379,32.15
2018-07-17 00:00:00,3276088,32.27
2018-07-18 00:00:00,5089635,32.47
2018-07-19 00:00:00,4024384.9999999995,32.3
2018-07-20 00:00:00,1979889,32.14
2018-07-23 00:00:00,2643959,31.6
2018-07-24 00:00:00,5234923,31.2
2018-07-25 00:00:00,5050844,31.36
2018-07-26 00:00:00,3548388,31.68
2018-07-27 00:00:00,2460969,31.58
2018-07-30 00:00:00,5416791,31.07
2018-07-31 00:00:00,4067078.0000000005,31.67
2018-08-01 00:00:00,4341588,31.9
2018-08-02 00:00:00,5625898,31.57
2018-08-03 00:00:00,5891982,32.61
2018-08-06 00:00:00,6176103,33.31
2018-08-07 00:00:00,5507266,34.2
2018-08-08 00:00:00,3940288,34.2
2018-08-09 00:00:00,2496291,34.13
2018-08-10 00:00:00,2627853,33.79
2018-08-13 00:00:00,4018570.0000000005,32.5
2018-08-14 00:00:00,4348260,32.83
2018-08-15 00:00:00,4490543,32.61
2018-08-16 00:00:00,4806019,33.79
2018-08-17 00:00:00,4135769,33.95
2018-08-20 00:00:00,2248843,34.18
2018-08-21 00:00:00,3324079,33.74
2018-08-22 00:00:00,3157536,33.71
2018-08-23 00:00:00,2546479,33.43
2018-08-24 00:00:00,1662082,34.09
2018-08-27 00:00:00,1929529,34.15
2018-08-28 00:00:00,1721050,34.17
2018-08-29 00:00:00,2620857,34.36
2018-08-30 00:00:00,2429975,34.65
2018-08-31 00:00:00,4434874,35.39
2018-09-04 00:00:00,4289586,35.62
2018-09-05 00:00:00,6254960,35.27
2018-09-06 00:00:00,3779235,34.98
2018-09-07 00:00:00,3099591,34.8
2018-09-10 00:00:00,2605716,35.26
2018-09-11 00:00:00,2280309,35.41
2018-09-12 00:00:00,2746156,35.77
2018-09-13 00:00:00,3606714,36.17
2018-09-14 00:00:00,2671234,36.24
2018-09-17 00:00:00,3479681,35.5
2018-09-18 00:00:00,2354083,35.88
2018-09-19 00:00:00,2720113,35.58
2018-09-20 00:00:00,4341348,35.83
2018-09-21 00:00:00,5110298,36.16
2018-09-24 00:00:00,3241917,36.09
2018-09-25 00:00:00,3099412,35.79
2018-09-26 00:00:00,3530245,35.56
2018-09-27 00:00:00,3863965,36.45
2018-09-28 00:00:00,4129167,37.4
2018-10-01 00:00:00,5975548,37.62
2018-10-02 00:00:00,4080536.0000000005,37.68
2018-10-03 00:00:00,4272840,37
2018-10-04 00:00:00,3768006,36.62
2018-10-05 00:00:00,3982937,37.2
2018-10-08 00:00:00,2904388,37.29
2018-10-09 00:00:00,2832676,37.42
2018-10-10 00:00:00,4167996.9999999995,36.44
2018-10-11 00:00:00,4969213,35.98
2018-10-12 00:00:00,3925871,36.37
2018-10-15 00:00:00,2989293,36.6
2018-10-16 00:00:00,3419553,37.67
2018-10-17 00:00:00,2950589,37.52
2018-10-18 00:00:00,5583515,36.86
2018-10-19 00:00:00,2918196,36.82
2018-10-22 00:00:00,2174515,36.99
2018-10-23 00:00:00,4139747,36.18
2018-10-24 00:00:00,3416967,35.83
2018-10-25 00:00:00,3123656,35.88
2018-10-26 00:00:00,6141863,35.56
2018-10-29 00:00:00,4501905,35.41
2018-10-30 00:00:00,3507374,35.73
2018-10-31 00:00:00,4774649,36.19
2018-11-01 00:00:00,4288671,37.07
2018-11-02 00:00:00,3695897,37.42
2018-11-05 00:00:00,4023386.9999999995,38.3
2018-11-06 00:00:00,3600081,37.95
2018-11-07 00:00:00,5014840,38.4
2018-11-08 00:00:00,8490804,36.99
2018-11-09 00:00:00,8064831.999999999,38.28
2018-11-12 00:00:00,10335380,39.8
2018-11-13 00:00:00,6258557,39.4
2018-11-14 00:00:00,6474255,39.04
2018-11-15 00:00:00,4699797,39.2
2018-11-16 00:00:00,3546065,39.27
2018-11-19 00:00:00,3924358,39.08
2018-11-20 00:00:00,6436210,37.89
2018-11-21 00:00:00,4179846.0000000005,38.16
2018-11-23 00:00:00,2538977,38.44
2018-11-26 00:00:00,3567497,39.06
2018-11-27 00:00:00,3338319,38.46
2018-11-28 00:00:00,4750699,39.37
2018-11-29 00:00:00,5203014,38.79
2018-11-30 00:00:00,19793050,38.43
2018-12-03 00:00:00,6551944,39.82
2018-12-04 00:00:00,6754092,39.83
2018-12-06 00:00:00,5501839,40.56
2018-12-07 00:00:00,4017963,40.53
2018-12-10 00:00:00,3267408,40.59
2018-12-11 00:00:00,6910526,41.67
2018-12-12 00:00:00,5587872,42.21
2018-12-13 00:00:00,5763459,42.68
2018-12-14 00:00:00,4831297,42.32
2018-12-17 00:00:00,6241226,41.02
2018-12-18 00:00:00,6617228,40.89
2018-12-19 00:00:00,7320589,40.08
2018-12-20 00:00:00,10360910,38.22
2018-12-21 00:00:00,10862980,37.21
2018-12-24 00:00:00,2479999,36.24
2018-12-26 00:00:00,4738625,38.1
2018-12-27 00:00:00,3578648,38.62
2018-12-28 00:00:00,3267509,38.62
2018-12-31 00:00:00,2776834,39.6
2019-01-02 00:00:00,5156689,38.11
2019-01-03 00:00:00,3969859,37.75
2019-01-04 00:00:00,4092761.9999999995,39.04
2019-01-07 00:00:00,3123844,39.4
2019-01-08 00:00:00,2727709,40
2019-01-09 00:00:00,3319368,39.55
2019-01-10 00:00:00,3462493,40.41
2019-01-11 00:00:00,2006152.9999999998,40.3
2019-01-14 00:00:00,2272035,39.67
2019-01-15 00:00:00,3043629,40.44
2019-01-16 00:00:00,2647038,40.69
2019-01-17 00:00:00,3308052,41.06
2019-01-18 00:00:00,4360248,40.34
2019-01-22 00:00:00,4355895,40.5
2019-01-23 00:00:00,2754009,41.34
2019-01-24 00:00:00,2986880,41.73
2019-01-25 00:00:00,4320562,40.93
2019-01-28 00:00:00,3093731,40.14
2019-01-29 00:00:00,4479458,39.93
2019-01-30 00:00:00,3306616,40.18
2019-01-31 00:00:00,4433653,40.91
