date,volume,price
2020-09-30 00:00:00,338584433,9.5
2020-10-01 00:00:00,124297587,9.46
2020-10-02 00:00:00,55018340,9.2
2020-10-05 00:00:00,36316880,9.03
2020-10-06 00:00:00,90864040,9.9
2020-10-07 00:00:00,54672420,10
2020-10-08 00:00:00,34989190,10
2020-10-09 00:00:00,19653450,9.95
2020-10-12 00:00:00,20623570,9.89
2020-10-13 00:00:00,21847180,9.47
2020-10-14 00:00:00,13785100,9.34
2020-10-15 00:00:00,12924090,9.91
2020-10-16 00:00:00,11142460,9.71
2020-10-19 00:00:00,9126352,9.57
2020-10-20 00:00:00,11138220,9.27
2020-10-21 00:00:00,9189978,9.2
2020-10-22 00:00:00,17928580,9.68
2020-10-23 00:00:00,12618010,9.49
2020-10-26 00:00:00,23767340,9.95
2020-10-27 00:00:00,53695930,10.95
2020-10-28 00:00:00,30941720,10.85
2020-10-29 00:00:00,20515710,10.75
2020-10-30 00:00:00,19728370,10.13
2020-11-02 00:00:00,11677850,10.54
2020-11-03 00:00:00,21652810,10.5
2020-11-04 00:00:00,15783360,10.72
2020-11-05 00:00:00,48560380,11.88
2020-11-06 00:00:00,89977560,13.83
2020-11-09 00:00:00,60098960,14.67
2020-11-10 00:00:00,38078740,14
2020-11-11 00:00:00,47027940,15.96
2020-11-12 00:00:00,99287570,14.58
2020-11-13 00:00:00,76622570,15.8
2020-11-16 00:00:00,65325990.00000001,15.93
2020-11-17 00:00:00,116618500,17.85
2020-11-18 00:00:00,89957890,17.9
2020-11-19 00:00:00,56225400,18.98
2020-11-20 00:00:00,72103990,18.15
2020-11-23 00:00:00,84716300,21.04
2020-11-24 00:00:00,115468800,23.82
2020-11-25 00:00:00,202563700,29.05
2020-11-27 00:00:00,207834000,27.66
2020-11-30 00:00:00,137243000,27.11
2020-12-01 00:00:00,84539790,25.67
2020-12-02 00:00:00,149062100,22.51
2020-12-03 00:00:00,85634260,24.03
2020-12-04 00:00:00,56044060,23.85
2020-12-07 00:00:00,118463700,28.94
2020-12-08 00:00:00,124754300,28.59
2020-12-09 00:00:00,79634720,26.63
2020-12-10 00:00:00,57774820,27.04
2020-12-11 00:00:00,52764350,27.2
2020-12-14 00:00:00,44734520,27.24
2020-12-15 00:00:00,49273240,26.43
2020-12-16 00:00:00,44013390,25.92
