date,volume,price
2018-01-02 00:00:00,1844452,49.09
2018-01-03 00:00:00,2900595,49.93
2018-01-04 00:00:00,2291888,50.37
2018-01-05 00:00:00,3137185,48.45
2018-01-08 00:00:00,1528763,48.59
2018-01-09 00:00:00,853892,48.52
2018-01-10 00:00:00,1970351,49.52
2018-01-11 00:00:00,2345386,50.82
2018-01-12 00:00:00,1880515,51.44
2018-01-16 00:00:00,3016656,50.75
2018-01-17 00:00:00,2082504.0000000002,51.21
2018-01-18 00:00:00,1573730,50.69
2018-01-19 00:00:00,1500073,50.73
2018-01-22 00:00:00,1488454,51
2018-01-23 00:00:00,1273157,51.03
2018-01-24 00:00:00,1210704,50.79
2018-01-25 00:00:00,1576169,50
2018-01-26 00:00:00,1243695,49.99
2018-01-29 00:00:00,2212016,48.89
2018-01-30 00:00:00,2191264,47.92
2018-01-31 00:00:00,2092922.0000000002,48
2018-02-01 00:00:00,1817279,48.91
2018-02-02 00:00:00,2238955,47.14
2018-02-05 00:00:00,2408352,45.83
2018-02-06 00:00:00,2358146,46.48
2018-02-07 00:00:00,3279720,47.57
2018-02-08 00:00:00,2893288,45.3
2018-02-09 00:00:00,2515139,45.17
2018-02-12 00:00:00,1572041,47.03
2018-02-13 00:00:00,1505406,47.3
2018-02-14 00:00:00,1790156,47.81
2018-02-15 00:00:00,3421368,49.85
2018-02-16 00:00:00,3590606,47.91
2018-02-20 00:00:00,2425366,47.75
2018-02-21 00:00:00,2690441,46.74
2018-02-22 00:00:00,2225194,45.96
2018-02-23 00:00:00,1320873,46.97
2018-02-26 00:00:00,1666171,47.19
2018-02-27 00:00:00,1956721,45.93
2018-02-28 00:00:00,2413770,44.65
2018-03-01 00:00:00,1919666,45.3
2018-03-02 00:00:00,1487600,45.67
2018-03-05 00:00:00,1001050.9999999999,46.55
2018-03-06 00:00:00,1332151,46.25
2018-03-07 00:00:00,1989152,45.09
2018-03-08 00:00:00,1517356,44.77
2018-03-09 00:00:00,1533833,45.66
2018-03-12 00:00:00,1854654,46.71
2018-03-13 00:00:00,1739434,47.14
2018-03-14 00:00:00,1693801,46.74
2018-03-15 00:00:00,3813320,46.35
2018-03-16 00:00:00,2473589,47.73
2018-03-19 00:00:00,1931949,46.16
2018-03-20 00:00:00,2255124,46.43
2018-03-21 00:00:00,2331809,47.5
2018-03-22 00:00:00,1396430,46.49
2018-03-23 00:00:00,1707602,46.22
2018-03-26 00:00:00,2254411,46.39
2018-03-27 00:00:00,1987587,45.46
2018-03-28 00:00:00,4264827,43.74
2018-03-29 00:00:00,4318426,44
2018-04-02 00:00:00,2590443,43.42
2018-04-03 00:00:00,1630012,43.88
2018-04-04 00:00:00,3097972,43.69
2018-04-05 00:00:00,2669938,45.22
2018-04-06 00:00:00,2271085,44.95
2018-04-09 00:00:00,2211367,44.62
2018-04-10 00:00:00,3323551,46.26
2018-04-11 00:00:00,3035757,45.64
2018-04-12 00:00:00,2019152,45.08
2018-04-13 00:00:00,1848419,45.2
2018-04-16 00:00:00,1977212,46.64
2018-04-17 00:00:00,1998479,47.25
2018-04-18 00:00:00,1814868,48.03
2018-04-19 00:00:00,2125558,47.17
2018-04-20 00:00:00,1669207,47.59
2018-04-23 00:00:00,1224014,47.99
2018-04-24 00:00:00,1935164,46.28
2018-04-25 00:00:00,1623194,46.75
2018-04-26 00:00:00,976569,46.63
2018-04-27 00:00:00,1547173,47.37
2018-04-30 00:00:00,3036242,46.97
2018-05-01 00:00:00,1798562,46.68
2018-05-02 00:00:00,2646375,47.43
2018-05-03 00:00:00,3503436,46.3
2018-05-04 00:00:00,1675645,46.03
2018-05-07 00:00:00,2274666,46.55
2018-05-08 00:00:00,2416802,47.4
2018-05-09 00:00:00,1852788,47.59
2018-05-10 00:00:00,1235865,48.07
2018-05-11 00:00:00,1004308.9999999999,48.12
2018-05-14 00:00:00,1020146,48.85
2018-05-15 00:00:00,2113414,48.71
2018-05-16 00:00:00,1776210,48.59
2018-05-17 00:00:00,1732464,48.57
2018-05-18 00:00:00,1413499,48.34
2018-05-21 00:00:00,1552685,48.73
2018-05-22 00:00:00,2376842,48.53
2018-05-23 00:00:00,1797292,48.51
2018-05-24 00:00:00,2389590,47.29
2018-05-25 00:00:00,2122804,46.79
2018-05-29 00:00:00,1987910,46.61
2018-05-30 00:00:00,2329725,48.35
2018-05-31 00:00:00,2548304,48.63
2018-06-01 00:00:00,2393017,48.79
2018-06-04 00:00:00,1644751,48.71
2018-06-05 00:00:00,2237875,48.78
2018-06-06 00:00:00,1472585,48.77
2018-06-07 00:00:00,1824837,49.72
2018-06-08 00:00:00,1897892,49.31
2018-06-11 00:00:00,2476749,50.64
2018-06-12 00:00:00,2906712,48.78
2018-06-13 00:00:00,2780731,47.93
2018-06-14 00:00:00,1563583,48.52
2018-06-15 00:00:00,3634481,46.54
2018-06-18 00:00:00,1988607,47.4
2018-06-19 00:00:00,1907688,47.66
2018-06-20 00:00:00,2631589,48.52
2018-06-21 00:00:00,1575422,48.24
2018-06-22 00:00:00,3066474,49.45
2018-06-25 00:00:00,2693091,48.49
2018-06-26 00:00:00,2435952,49.01
2018-06-27 00:00:00,2864935,49.21
2018-06-28 00:00:00,1835293,50.21
2018-06-29 00:00:00,2497710,49.49
2018-07-02 00:00:00,2352867,48.27
2018-07-03 00:00:00,1046778.9999999999,48.66
2018-07-05 00:00:00,1346051,48.6
2018-07-06 00:00:00,1484112,49.84
2018-07-09 00:00:00,1591112,50.63
2018-07-10 00:00:00,1937438,50.9
2018-07-11 00:00:00,1373507,50.49
2018-07-12 00:00:00,1863952,51.19
2018-07-13 00:00:00,2546535,52.26
2018-07-16 00:00:00,1661450,51.68
2018-07-17 00:00:00,1623410,51.6
2018-07-18 00:00:00,1825988,51.76
2018-07-19 00:00:00,2696084,52.3
2018-07-20 00:00:00,1776053,51.63
2018-07-23 00:00:00,1488565,51.98
2018-07-24 00:00:00,1893641,52.03
2018-07-25 00:00:00,1842951,52.59
2018-07-26 00:00:00,1427353,52.82
2018-07-27 00:00:00,1943368,51.24
2018-07-30 00:00:00,2211805,52.16
2018-07-31 00:00:00,1711474,51.07
2018-08-01 00:00:00,1380512,51.59
2018-08-02 00:00:00,1963390,51.92
2018-08-03 00:00:00,1690846,51.63
2018-08-06 00:00:00,2352803,52.89
2018-08-07 00:00:00,2289489,52.75
2018-08-08 00:00:00,2219996,53.18
2018-08-09 00:00:00,3031880,52.52
2018-08-10 00:00:00,2283092,53.98
2018-08-13 00:00:00,1428159,53.01
2018-08-14 00:00:00,1648318,53.47
2018-08-15 00:00:00,1519084,52.45
2018-08-16 00:00:00,1084683,52.92
2018-08-17 00:00:00,1159084,53.92
2018-08-20 00:00:00,1406473,54.22
2018-08-21 00:00:00,1759366,54.29
2018-08-22 00:00:00,1866093,55.71
2018-08-23 00:00:00,1322142,55.38
2018-08-24 00:00:00,1214886,55.67
2018-08-27 00:00:00,1340371,55.85
2018-08-28 00:00:00,1595069,55.47
2018-08-29 00:00:00,1463047,55.48
2018-08-30 00:00:00,1699426,55.3
2018-08-31 00:00:00,1591752,55.07
2018-09-04 00:00:00,1529419,54.39
