date,volume,price
2018-01-02 00:00:00,3790666,18.42
2018-01-03 00:00:00,4049725.9999999995,18.47
2018-01-04 00:00:00,4480529,18.49
2018-01-05 00:00:00,2765511,18.68
2018-01-08 00:00:00,3789346,18.7
2018-01-09 00:00:00,4521232,18.46
2018-01-10 00:00:00,2610822,18.35
2018-01-11 00:00:00,3591941,18.54
2018-01-12 00:00:00,2015210.9999999998,18.57
2018-01-16 00:00:00,3053239,17.98
2018-01-17 00:00:00,4216991,18.44
2018-01-18 00:00:00,8061859.999999999,18.79
2018-01-19 00:00:00,7149348,19.49
2018-01-22 00:00:00,4690702,19.24
2018-01-23 00:00:00,4096323,19.23
2018-01-24 00:00:00,5249746,19.48
2018-01-25 00:00:00,3372588,19.72
2018-01-26 00:00:00,2234763,19.79
2018-01-29 00:00:00,2450923,19.56
2018-01-30 00:00:00,3917431,19.16
2018-01-31 00:00:00,2919551,19.5
2018-02-01 00:00:00,4312748,19.64
2018-02-02 00:00:00,3360633,19.15
2018-02-05 00:00:00,3691375,18.53
2018-02-06 00:00:00,5663452,18.67
2018-02-07 00:00:00,5851767,18.53
2018-02-08 00:00:00,4777882,17.46
2018-02-09 00:00:00,5662550,17.88
2018-02-12 00:00:00,4424102,17.96
2018-02-13 00:00:00,2400045,18.25
2018-02-14 00:00:00,1754720,18.26
2018-02-15 00:00:00,1950866,18.69
2018-02-16 00:00:00,1638266,18.83
2018-02-20 00:00:00,2945568,18.88
2018-02-21 00:00:00,2487160,18.67
2018-02-22 00:00:00,3585669,18.72
2018-02-23 00:00:00,4884733,19.02
2018-02-26 00:00:00,3357959,18.98
2018-02-27 00:00:00,4245478,18.98
2018-02-28 00:00:00,3852516,18.95
2018-03-01 00:00:00,3239990,19.1
2018-03-02 00:00:00,2934006,19.59
2018-03-05 00:00:00,4934506,19.91
2018-03-06 00:00:00,8881686,20.47
2018-03-07 00:00:00,4276881,20.59
2018-03-08 00:00:00,5226209,20.81
2018-03-09 00:00:00,4891341,20.69
2018-03-12 00:00:00,5421681,20.46
2018-03-13 00:00:00,8115423,20.46
2018-03-14 00:00:00,5061019,20.29
2018-03-15 00:00:00,5545722,20.69
2018-03-16 00:00:00,4212232,20.43
2018-03-19 00:00:00,4342876,19.93
2018-03-20 00:00:00,3759890,19.82
2018-03-21 00:00:00,4039728,20.15
2018-03-22 00:00:00,6223240,20.35
2018-03-23 00:00:00,4377753,20.19
2018-03-26 00:00:00,4056954,20.71
2018-03-27 00:00:00,4795962,20.86
2018-03-28 00:00:00,4717551,21.13
2018-03-29 00:00:00,4904770,20.83
2018-04-02 00:00:00,3415602,20.35
2018-04-03 00:00:00,4979948,20.78
2018-04-04 00:00:00,5007033,20.61
2018-04-05 00:00:00,4761733,20.22
2018-04-06 00:00:00,14214470,19.68
2018-04-09 00:00:00,11306670,20.83
2018-04-10 00:00:00,9142674,21.32
2018-04-11 00:00:00,8343113.000000001,21.47
2018-04-12 00:00:00,9270516,21.46
2018-04-13 00:00:00,8445377,21.65
2018-04-16 00:00:00,8280203.999999999,21.99
2018-04-17 00:00:00,5409044,22.35
2018-04-18 00:00:00,4540257,22.34
2018-04-19 00:00:00,3833148,22.12
2018-04-20 00:00:00,5551233,21.88
2018-04-23 00:00:00,4724771,22.33
2018-04-24 00:00:00,4562891,22.28
2018-04-25 00:00:00,3413299,22.48
2018-04-26 00:00:00,5802984,22.6
2018-04-27 00:00:00,3587211,22.74
2018-04-30 00:00:00,4032826,22.85
2018-05-01 00:00:00,4012822,22.85
2018-05-02 00:00:00,5348590,22.99
2018-05-03 00:00:00,5485291,23.14
2018-05-04 00:00:00,9115081,23.01
2018-05-07 00:00:00,7160540,23.8
2018-05-08 00:00:00,6072711,23.17
2018-05-09 00:00:00,4586979,22.99
2018-05-10 00:00:00,4681584,22.91
2018-05-11 00:00:00,4052067,22.94
2018-05-14 00:00:00,2878557,23.1
2018-05-15 00:00:00,4516864,23.14
2018-05-16 00:00:00,3837135,23.08
2018-05-17 00:00:00,4051451,22.88
2018-05-18 00:00:00,3841246,23.01
2018-05-21 00:00:00,3340383,23.01
2018-05-22 00:00:00,2017755.0000000002,23.22
2018-05-23 00:00:00,3508482,23.23
2018-05-24 00:00:00,6064440,24.08
2018-05-25 00:00:00,3173966,23.95
2018-05-29 00:00:00,2998280,24.01
2018-05-30 00:00:00,4846896,24.27
2018-05-31 00:00:00,10162390,24.53
2018-06-01 00:00:00,4055759,24.34
2018-06-04 00:00:00,3800975,24.27
2018-06-05 00:00:00,3647472,24.38
2018-06-06 00:00:00,4563107,24.61
2018-06-07 00:00:00,3776432,24.67
2018-06-08 00:00:00,2348663,24.56
2018-06-11 00:00:00,3832738,24.09
2018-06-12 00:00:00,4105590.0000000005,24.2
2018-06-13 00:00:00,9875104,24.39
2018-06-14 00:00:00,4276948,24.01
2018-06-15 00:00:00,5565412,23.75
2018-06-18 00:00:00,4715079,23.52
2018-06-19 00:00:00,6467416,23.46
2018-06-20 00:00:00,5305633,23.65
2018-06-21 00:00:00,3552257,24.07
2018-06-22 00:00:00,9288429,23.65
2018-06-25 00:00:00,4497478,23.33
2018-06-26 00:00:00,5392299,23.84
2018-06-27 00:00:00,3388581,23.75
2018-06-28 00:00:00,4137804,23.5
2018-06-29 00:00:00,3085483,23.66
2018-07-02 00:00:00,3306804,24.01
2018-07-03 00:00:00,3476061,22.81
2018-07-05 00:00:00,4288072,22.62
2018-07-06 00:00:00,3452340,22.91
2018-07-09 00:00:00,3806677,22.71
2018-07-10 00:00:00,4119919.9999999995,23.01
2018-07-11 00:00:00,2321328,22.87
2018-07-12 00:00:00,2422086,23.19
2018-07-13 00:00:00,2506225,23.44
2018-07-16 00:00:00,2937819,23.71
2018-07-17 00:00:00,2562904,23.59
2018-07-18 00:00:00,2991289,23.55
2018-07-19 00:00:00,3197196,23.23
2018-07-20 00:00:00,2676609,23.18
2018-07-23 00:00:00,2341914,22.89
2018-07-24 00:00:00,3485463,22.45
2018-07-25 00:00:00,2839910,22.31
2018-07-26 00:00:00,2166020,22.55
2018-07-27 00:00:00,2135264,22.35
2018-07-30 00:00:00,1528059,22.17
2018-07-31 00:00:00,3363941,22.6
2018-08-01 00:00:00,2706603,22.72
2018-08-02 00:00:00,3094165,22.56
2018-08-03 00:00:00,3921861,22.62
2018-08-06 00:00:00,5380904,23.2
2018-08-07 00:00:00,4320045,23.47
2018-08-08 00:00:00,3454219,23.33
2018-08-09 00:00:00,3569328,23.36
2018-08-10 00:00:00,5373574,22.78
2018-08-13 00:00:00,8113445,22.1
2018-08-14 00:00:00,4114480.0000000005,22.41
