Start,End,Open,High,Low,Close,Volume,Market Cap
2024-09-30,2024-10-01,65457.93,65463.78,62840.99,63110.05,45661374.547038324,9937174584.271776
2024-09-29,2024-09-30,65729.93,66048.15,65306.49,65544.15,19232431.94773519,10196450651.463415
2024-09-28,2024-09-29,65661.11,66117.33,65151.63,65688.93,29858201.156794425,10199366554.829268
2024-09-27,2024-09-28,64904.68,66104.31,64706.77,65644.62,42182890.17770035,10164760180.87108
2024-09-26,2024-09-27,63020.59,65448.43,62690.83,64892.69,49486666.773519166,9970638467.790941
2024-09-25,2024-09-26,64057.54,64508.27,62855.43,62981.85,75959122.54006968,9888284500.324041
2024-09-24,2024-09-25,63258.28,64428.2,62620.54,64175.08,102461810.4738676,9852906662.40418
2024-09-23,2024-09-24,63450.71,64580.63,62841.94,63255.37,60837334.41811847,9860398909.494774
2024-09-22,2024-09-23,63269.38,63848.91,62339.12,63476.66,15585612.195121951,9778060327.174215
2024-09-21,2024-09-22,63041.23,63610.08,62513.63,63337.28,28203030.073170733,9795760603.501741
2024-09-20,2024-09-21,62830.22,63967.31,62358.57,63057.3,49302532.540069684,9813939581.156794
2024-09-19,2024-09-20,61764.32,63719.89,61612.7,62823.27,64045767.37630662,9723398319.45993
2024-09-18,2024-09-19,60254.9,61368.81,59074.81,61368.81,42466352.07317073,9345503209.522648
2024-09-17,2024-09-18,58128.12,61048.94,57675.68,60201.65,30182853.714285713,9213757476.606272
2024-09-16,2024-09-17,59052.04,59115.23,57557.38,58217.33,50396516.63414634,9062971158.114983
2024-09-15,2024-09-16,59898.06,60239.15,58850.77,59102.46,20786219.43902439,9310313016.599302
2024-09-14,2024-09-15,60438.41,60448.66,59402.78,59903.42,43092992.891986065,9318027991.243902
2024-09-13,2024-09-14,58120.27,60447.19,57617.22,60392.87,51029486.67944251,9114777611.393728
2024-09-12,2024-09-13,57350.38,58633.5,57350.38,58080.66,54994148.27526133,9015466390.505226
2024-09-11,2024-09-12,57582.28,57878.52,55431.88,57372.07,31735696.449477352,8840506275.062717
2024-09-10,2024-09-11,56968.3,57852.91,56454.75,57560.47,31925769.83275261,8869306655.81533
2024-09-09,2024-09-10,54753.02,57792.42,54585.41,57055.49,27800327.72982456,8651146424.119299
2024-09-08,2024-09-09,54133.08,55248.94,53721.19,54788.94,21931061.296167247,8446138837.505226
2024-09-07,2024-09-08,53975.67,54748.83,53723.94,54105.2,72461604.99651568,8423288745.7735195
2024-09-06,2024-09-07,56101.2,56937.09,52638.72,53832.86,62212285.22299652,8589981022.30662
2024-09-05,2024-09-06,57906.72,58196.41,55877.02,56110.81,52899305.4912892,8822148618.146341
2024-09-04,2024-09-05,57480.7,58421.31,55836.68,57924.75,49563738.03832752,8882018433.63763
2024-09-03,2024-09-04,59033.94,59679.03,57485.6,57485.6,34009353.0174216,9102902245.627178
2024-09-02,2024-09-03,57269.69,59216.57,57236.09,59120.88,37864451.65853658,9044893901.536585
2024-09-01,2024-09-02,58903,58966.33,57262.28,57263.89,27096888.88850174,9044010152.930313
